Z(4, 11; 2, 2): Max: 17; Mean: 16.999; Variance: 0.000999; Size: 1000; Time: 551.916 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 787.224 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 13; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 327.971 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 14; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1000; Time: 371.193 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 15; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 1000; Time: 383.425 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 16; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 1000; Time: 477.28 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 17; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 504.949 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 18; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 634.413 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 19; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 519.359 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 20; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 1000; Time: 650.482 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 21; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 1000; Time: 607.174 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 22; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 684.008 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 23; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 1000; Time: 699.658 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 24; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 809.105 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 25; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 781.176 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 909.625 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 27; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 951.58 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 28; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 1000; Time: 1018.46 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 29; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 1000; Time: 1074.24 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 30; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 1000; Time: 1128.81 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 5; 2, 2): Max: 12; Mean: 11.979; Variance: 0.020559; Size: 1000; Time: 155.191 ms; Top5_Histogram_(relative_to_max): 0 0 0 21 979 ; iter: 200;
Z(5, 6; 2, 2): Max: 14; Mean: 13.908; Variance: 0.083536; Size: 1000; Time: 271.61 ms; Top5_Histogram_(relative_to_max): 0 0 0 92 908 ; iter: 200;
Z(5, 7; 2, 2): Max: 15; Mean: 14.983; Variance: 0.016711; Size: 1000; Time: 271.396 ms; Top5_Histogram_(relative_to_max): 0 0 0 17 983 ; iter: 200;
Z(5, 8; 2, 2): Max: 17; Mean: 16.868; Variance: 0.116576; Size: 1000; Time: 325.184 ms; Top5_Histogram_(relative_to_max): 0 0 1 130 869 ; iter: 200;
Z(5, 9; 2, 2): Max: 18; Mean: 17.935; Variance: 0.060775; Size: 1000; Time: 413.487 ms; Top5_Histogram_(relative_to_max): 0 0 0 65 935 ; iter: 200;
Z(5, 10; 2, 2): Max: 20; Mean: 19.397; Variance: 0.261391; Size: 1000; Time: 425.736 ms; Top5_Histogram_(relative_to_max): 0 0 11 581 408 ; iter: 200;
Z(5, 11; 2, 2): Max: 21; Mean: 20.641; Variance: 0.232119; Size: 1000; Time: 453.568 ms; Top5_Histogram_(relative_to_max): 0 0 1 357 642 ; iter: 200;
Z(5, 12; 2, 2): Max: 22; Mean: 21.768; Variance: 0.180176; Size: 1000; Time: 500.568 ms; Top5_Histogram_(relative_to_max): 0 0 1 230 769 ; iter: 200;
Z(5, 13; 2, 2): Max: 23; Mean: 22.9; Variance: 0.09; Size: 1000; Time: 687.524 ms; Top5_Histogram_(relative_to_max): 0 0 0 100 900 ; iter: 200;
Z(5, 14; 2, 2): Max: 24; Mean: 23.941; Variance: 0.055519; Size: 1000; Time: 748.461 ms; Top5_Histogram_(relative_to_max): 0 0 0 59 941 ; iter: 200;
