Z(3, 38; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 10; Time: 10.6881 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 10; Time: 11.1787 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(3, 40; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 10; Time: 11.6259 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 4; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 10; Time: 11.8122 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 10; Time: 9.4678 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 6; 2, 2): Max: 12; Mean: 11.7; Variance: 0.21; Size: 10; Time: 9.7756 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 7 ; iter: 3;
Z(4, 7; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 10; Time: 9.7043 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 8; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 10; Time: 9.3991 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 9; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 10; Time: 10.0888 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 10; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 10; Time: 9.5751 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 11; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 10; Time: 9.5851 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 10; Time: 9.4013 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 13; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 10; Time: 10.2182 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 14; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 10; Time: 10.1736 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 15; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 10; Time: 10.1534 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 16; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 10; Time: 10.4191 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 17; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 10; Time: 10.2734 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 18; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 10; Time: 10.2878 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 19; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 10; Time: 10.1121 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 20; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 10; Time: 9.915 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 21; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 10; Time: 11.4114 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 22; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 10; Time: 10.0433 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 23; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 10; Time: 10.7728 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 24; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 10; Time: 10.7898 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 25; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 10; Time: 10.5213 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 10; Time: 10.6973 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 27; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 10; Time: 12.6181 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 28; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 10; Time: 11.3109 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 29; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 10; Time: 10.3705 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 30; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 10; Time: 11.0327 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 31; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 10; Time: 10.48 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 32; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 10; Time: 11.0808 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 33; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 10; Time: 10.8267 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 34; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 10; Time: 11.8443 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 35; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 10; Time: 11.3593 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 36; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 10; Time: 11.7488 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 37; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 10; Time: 12.0884 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 38; 2, 2): Max: 44; Mean: 44; Variance: 0; Size: 10; Time: 12.5433 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 39; 2, 2): Max: 45; Mean: 45; Variance: 0; Size: 10; Time: 11.2079 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(4, 40; 2, 2): Max: 46; Mean: 46; Variance: 0; Size: 10; Time: 11.509 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 5; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 10; Time: 10.0863 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 6; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 10; Time: 10.5607 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 7; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 10; Time: 9.3962 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
