Z(4, 11; 2, 2): Max: 17; Mean: 16.999; Variance: 0.000999; Size: 1000; Time: 130.26 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 10;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 192.302 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 13; 2, 2): Max: 19; Mean: 18.972; Variance: 0.027216; Size: 1000; Time: 120.818 ms; Top5_Histogram_(relative_to_max): 0 0 0 28 972 ; iter: 10;
Z(4, 14; 2, 2): Max: 20; Mean: 19.977; Variance: 0.022471; Size: 1000; Time: 150.191 ms; Top5_Histogram_(relative_to_max): 0 0 0 23 977 ; iter: 10;
Z(4, 15; 2, 2): Max: 21; Mean: 20.992; Variance: 0.007936; Size: 1000; Time: 142.179 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 992 ; iter: 10;
Z(4, 16; 2, 2): Max: 22; Mean: 21.996; Variance: 0.003984; Size: 1000; Time: 193.005 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 996 ; iter: 10;
Z(4, 17; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 163.946 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 18; 2, 2): Max: 24; Mean: 23.997; Variance: 0.002991; Size: 1000; Time: 215.081 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 997 ; iter: 10;
Z(4, 19; 2, 2): Max: 25; Mean: 24.999; Variance: 0.000999; Size: 1000; Time: 177.729 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 10;
Z(4, 20; 2, 2): Max: 26; Mean: 25.999; Variance: 0.000999; Size: 1000; Time: 244.929 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 10;
Z(4, 21; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 1000; Time: 198.463 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 22; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 237.833 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 23; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 1000; Time: 224.308 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 24; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 271.546 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 25; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 245.642 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 314.924 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 27; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 328.387 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 28; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 1000; Time: 349.416 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 29; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 1000; Time: 292.695 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(4, 30; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 1000; Time: 369.708 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 10;
Z(5, 5; 2, 2): Max: 12; Mean: 11.987; Variance: 0.012831; Size: 1000; Time: 65.1007 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 987 ; iter: 10;
Z(5, 6; 2, 2): Max: 14; Mean: 13.883; Variance: 0.103311; Size: 1000; Time: 116.933 ms; Top5_Histogram_(relative_to_max): 0 0 0 117 883 ; iter: 10;
Z(5, 7; 2, 2): Max: 15; Mean: 14.994; Variance: 0.005964; Size: 1000; Time: 90.2081 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 994 ; iter: 10;
Z(5, 8; 2, 2): Max: 17; Mean: 16.899; Variance: 0.092799; Size: 1000; Time: 109.291 ms; Top5_Histogram_(relative_to_max): 0 0 1 99 900 ; iter: 10;
Z(5, 9; 2, 2): Max: 18; Mean: 17.915; Variance: 0.077775; Size: 1000; Time: 127.859 ms; Top5_Histogram_(relative_to_max): 0 0 0 85 915 ; iter: 10;
