Z(4, 10; 2, 2): Max: 16; Mean: 15.999; Variance: 0.000999; Size: 1000; Time: 443.386 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(4, 11; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 1000; Time: 508.279 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 694.052 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 13; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 281.362 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 14; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1000; Time: 305.825 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 15; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 1000; Time: 336.325 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 16; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 1000; Time: 414.286 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 17; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 451.823 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 18; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 482.493 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 19; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 507.857 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 20; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 1000; Time: 607.776 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 21; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 1000; Time: 648.556 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 22; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 688.096 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 23; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 1000; Time: 733.053 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 24; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 822.249 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 25; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 892.455 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 923.11 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 27; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 1012.58 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 28; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 1000; Time: 1155.43 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 29; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 1000; Time: 1197.51 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 30; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 1000; Time: 1254.06 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 5; 2, 2): Max: 12; Mean: 11.992; Variance: 0.007936; Size: 1000; Time: 178.107 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 992 ; iter: 200;
Z(5, 6; 2, 2): Max: 14; Mean: 13.883; Variance: 0.103311; Size: 1000; Time: 219.504 ms; Top5_Histogram_(relative_to_max): 0 0 0 117 883 ; iter: 200;
Z(5, 7; 2, 2): Max: 15; Mean: 14.979; Variance: 0.020559; Size: 1000; Time: 244.999 ms; Top5_Histogram_(relative_to_max): 0 0 0 21 979 ; iter: 200;
Z(5, 8; 2, 2): Max: 17; Mean: 16.783; Variance: 0.177911; Size: 1000; Time: 247.68 ms; Top5_Histogram_(relative_to_max): 0 0 4 209 787 ; iter: 200;
Z(5, 9; 2, 2): Max: 18; Mean: 17.92; Variance: 0.0756; Size: 1000; Time: 372.625 ms; Top5_Histogram_(relative_to_max): 0 0 1 78 921 ; iter: 200;
