Z(3, 11; 2, 2): Max: 14; Mean: 13.9456; Variance: 0.0514406; Size: 50000; Time: 712.667 ms; Top5_Histogram_(relative_to_max): 0 0 0 2720 47280 ;
Z(3, 12; 2, 2): Max: 15; Mean: 14.9503; Variance: 0.0472479; Size: 50000; Time: 713.977 ms; Top5_Histogram_(relative_to_max): 0 0 0 2486 47514 ;
Z(3, 13; 2, 2): Max: 16; Mean: 15.9546; Variance: 0.0433388; Size: 50000; Time: 800.364 ms; Top5_Histogram_(relative_to_max): 0 0 0 2270 47730 ;
Z(3, 14; 2, 2): Max: 17; Mean: 16.963; Variance: 0.035594; Size: 50000; Time: 955.566 ms; Top5_Histogram_(relative_to_max): 0 0 0 1848 48152 ;
Z(3, 15; 2, 2): Max: 18; Mean: 17.9671; Variance: 0.0318176; Size: 50000; Time: 805.368 ms; Top5_Histogram_(relative_to_max): 0 0 0 1645 48355 ;
Z(3, 16; 2, 2): Max: 19; Mean: 18.9679; Variance: 0.0310509; Size: 50000; Time: 866.396 ms; Top5_Histogram_(relative_to_max): 0 0 0 1604 48396 ;
Z(3, 17; 2, 2): Max: 20; Mean: 19.9703; Variance: 0.0288367; Size: 50000; Time: 871.847 ms; Top5_Histogram_(relative_to_max): 0 0 0 1486 48514 ;
Z(3, 18; 2, 2): Max: 21; Mean: 20.9725; Variance: 0.0267059; Size: 50000; Time: 899.738 ms; Top5_Histogram_(relative_to_max): 0 0 0 1373 48627 ;
Z(3, 19; 2, 2): Max: 22; Mean: 21.9758; Variance: 0.0235763; Size: 50000; Time: 1008.83 ms; Top5_Histogram_(relative_to_max): 0 0 0 1208 48792 ;
Z(3, 20; 2, 2): Max: 23; Mean: 22.9774; Variance: 0.0221083; Size: 50000; Time: 975.657 ms; Top5_Histogram_(relative_to_max): 0 0 0 1131 48869 ;
Z(3, 21; 2, 2): Max: 24; Mean: 23.9788; Variance: 0.0207697; Size: 50000; Time: 1084.4 ms; Top5_Histogram_(relative_to_max): 0 0 0 1061 48939 ;
Z(3, 22; 2, 2): Max: 25; Mean: 24.9791; Variance: 0.0204824; Size: 50000; Time: 1282.25 ms; Top5_Histogram_(relative_to_max): 0 0 0 1046 48954 ;
Z(3, 23; 2, 2): Max: 26; Mean: 25.9816; Variance: 0.0181; Size: 50000; Time: 1150.49 ms; Top5_Histogram_(relative_to_max): 0 0 0 922 49078 ;
Z(3, 24; 2, 2): Max: 27; Mean: 26.9826; Variance: 0.0171165; Size: 50000; Time: 1268.8 ms; Top5_Histogram_(relative_to_max): 0 0 0 871 49129 ;
Z(3, 25; 2, 2): Max: 28; Mean: 27.982; Variance: 0.0176567; Size: 50000; Time: 1202.34 ms; Top5_Histogram_(relative_to_max): 0 0 0 899 49101 ;
Z(3, 26; 2, 2): Max: 29; Mean: 28.9837; Variance: 0.016073; Size: 50000; Time: 1261.22 ms; Top5_Histogram_(relative_to_max): 0 0 0 817 49183 ;
Z(3, 27; 2, 2): Max: 30; Mean: 29.9842; Variance: 0.015531; Size: 50000; Time: 1379.79 ms; Top5_Histogram_(relative_to_max): 0 0 0 789 49211 ;
Z(3, 28; 2, 2): Max: 31; Mean: 30.9848; Variance: 0.014969; Size: 50000; Time: 1316.1 ms; Top5_Histogram_(relative_to_max): 0 0 0 760 49240 ;
Z(3, 29; 2, 2): Max: 32; Mean: 31.9861; Variance: 0.0137068; Size: 50000; Time: 1450.55 ms; Top5_Histogram_(relative_to_max): 0 0 0 695 49305 ;
Z(3, 30; 2, 2): Max: 33; Mean: 32.9864; Variance: 0.0133761; Size: 50000; Time: 1417.2 ms; Top5_Histogram_(relative_to_max): 0 0 0 678 49322 ;
Z(4, 4; 2, 2): Max: 9; Mean: 8.36704; Variance: 0.437522; Size: 50000; Time: 698.815 ms; Top5_Histogram_(relative_to_max): 0 0 5130 21388 23482 ;
Z(4, 5; 2, 2): Max: 10; Mean: 9.82196; Variance: 0.180102; Size: 50000; Time: 563.254 ms; Top5_Histogram_(relative_to_max): 0 0 844 7214 41942 ;
Z(4, 6; 2, 2): Max: 12; Mean: 11.0928; Variance: 0.253461; Size: 50000; Time: 620.142 ms; Top5_Histogram_(relative_to_max): 0 398 3037 38090 8475 ;
