Z(4, 11; 2, 2): Max: 17; Mean: 16.999; Variance: 0.000999; Size: 1000; Time: 516.611 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 715.942 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 13; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 299.011 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 14; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1000; Time: 340.453 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 15; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 1000; Time: 390.172 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 16; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 1000; Time: 426.971 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 17; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 458.543 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 18; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 507.701 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 19; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 529.511 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 20; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 1000; Time: 632.495 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 21; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 1000; Time: 662.591 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 22; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 697.804 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 23; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 1000; Time: 741.108 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 24; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 865.316 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 25; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 910.259 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 970.144 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 27; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 1006.76 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 28; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 1000; Time: 1126.88 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 29; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 1000; Time: 1230.24 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 30; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 1000; Time: 1274.81 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 5; 2, 2): Max: 12; Mean: 11.989; Variance: 0.010879; Size: 1000; Time: 178.499 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 989 ; iter: 200;
Z(5, 6; 2, 2): Max: 14; Mean: 13.901; Variance: 0.091199; Size: 1000; Time: 228.16 ms; Top5_Histogram_(relative_to_max): 0 0 1 97 902 ; iter: 200;
Z(5, 7; 2, 2): Max: 15; Mean: 14.99; Variance: 0.0099; Size: 1000; Time: 250.544 ms; Top5_Histogram_(relative_to_max): 0 0 0 10 990 ; iter: 200;
Z(5, 8; 2, 2): Max: 17; Mean: 16.832; Variance: 0.141776; Size: 1000; Time: 280.572 ms; Top5_Histogram_(relative_to_max): 0 0 1 166 833 ; iter: 200;
Z(5, 9; 2, 2): Max: 18; Mean: 17.937; Variance: 0.061031; Size: 1000; Time: 374.247 ms; Top5_Histogram_(relative_to_max): 0 0 1 61 938 ; iter: 200;
Z(5, 10; 2, 2): Max: 20; Mean: 19.381; Variance: 0.271839; Size: 1000; Time: 376.351 ms; Top5_Histogram_(relative_to_max): 0 0 18 583 399 ; iter: 200;
Z(5, 11; 2, 2): Max: 21; Mean: 20.646; Variance: 0.232684; Size: 1000; Time: 386.898 ms; Top5_Histogram_(relative_to_max): 0 0 2 350 648 ; iter: 200;
Z(5, 12; 2, 2): Max: 22; Mean: 21.741; Variance: 0.195919; Size: 1000; Time: 464.757 ms; Top5_Histogram_(relative_to_max): 0 0 2 255 743 ; iter: 200;
Z(5, 13; 2, 2): Max: 23; Mean: 22.902; Variance: 0.090396; Size: 1000; Time: 629.667 ms; Top5_Histogram_(relative_to_max): 0 0 1 96 903 ; iter: 200;
Z(5, 14; 2, 2): Max: 24; Mean: 23.953; Variance: 0.044791; Size: 1000; Time: 686.396 ms; Top5_Histogram_(relative_to_max): 0 0 0 47 953 ; iter: 200;
Z(5, 15; 2, 2): Max: 25; Mean: 24.967; Variance: 0.031911; Size: 1000; Time: 759.644 ms; Top5_Histogram_(relative_to_max): 0 0 0 33 967 ; iter: 200;
Z(5, 16; 2, 2): Max: 26; Mean: 25.981; Variance: 0.018639; Size: 1000; Time: 855.015 ms; Top5_Histogram_(relative_to_max): 0 0 0 19 981 ; iter: 200;
Z(5, 17; 2, 2): Max: 27; Mean: 26.991; Variance: 0.008919; Size: 1000; Time: 910.528 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 991 ; iter: 200;
Z(5, 18; 2, 2): Max: 28; Mean: 27.996; Variance: 0.003984; Size: 1000; Time: 1192.89 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 996 ; iter: 200;
Z(5, 19; 2, 2): Max: 29; Mean: 28.997; Variance: 0.002991; Size: 1000; Time: 1285.01 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 997 ; iter: 200;
Z(5, 20; 2, 2): Max: 30; Mean: 29.999; Variance: 0.000999; Size: 1000; Time: 1376.05 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(5, 21; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 539.932 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 22; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 554.006 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 23; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 673.413 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 24; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 1000; Time: 724.388 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 25; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 1000; Time: 769.008 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 26; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 1000; Time: 801.256 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 27; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 1000; Time: 860.58 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
