Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 1000; Time: 280.314 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 1000; Time: 308.31 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 1000; Time: 403.414 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 1000; Time: 425.443 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 1000; Time: 467.615 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 1000; Time: 566.338 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 596.677 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 16; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 629.065 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 1000; Time: 740.317 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 1000; Time: 782.948 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 1000; Time: 821.372 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 20; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 955.946 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 21; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 1009.18 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 22; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 1080.67 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 1000; Time: 1206.74 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 24; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 1000; Time: 1254.26 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 25; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 1328.19 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 1000; Time: 1503.97 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 1534.57 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 28; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 1610.04 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 29; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 1803.8 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 1878.63 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 4; 2, 2): Max: 9; Mean: 8.997; Variance: 0.002991; Size: 1000; Time: 145.235 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 997 ; iter: 200;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 326.24 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 6; 2, 2): Max: 12; Mean: 11.785; Variance: 0.168775; Size: 1000; Time: 270.035 ms; Top5_Histogram_(relative_to_max): 0 0 0 215 785 ; iter: 200;
Z(4, 7; 2, 2): Max: 13; Mean: 12.926; Variance: 0.068524; Size: 1000; Time: 321.618 ms; Top5_Histogram_(relative_to_max): 0 0 0 74 926 ; iter: 200;
Z(4, 8; 2, 2): Max: 14; Mean: 13.982; Variance: 0.017676; Size: 1000; Time: 561.255 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 982 ; iter: 200;
Z(4, 9; 2, 2): Max: 15; Mean: 14.994; Variance: 0.005964; Size: 1000; Time: 658.89 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 994 ; iter: 200;
Z(4, 10; 2, 2): Max: 16; Mean: 15.999; Variance: 0.000999; Size: 1000; Time: 782.723 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(4, 11; 2, 2): Max: 17; Mean: 16.998; Variance: 0.001996; Size: 1000; Time: 885.697 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 998 ; iter: 200;
Z(4, 12; 2, 2): Max: 18; Mean: 17.999; Variance: 0.000999; Size: 1000; Time: 1225.6 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(4, 13; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 448.447 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 14; 2, 2): Max: 20; Mean: 19.999; Variance: 0.000999; Size: 1000; Time: 486.321 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(4, 15; 2, 2): Max: 21; Mean: 20.998; Variance: 0.001996; Size: 1000; Time: 521.125 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 998 ; iter: 200;
Z(4, 16; 2, 2): Max: 22; Mean: 21.999; Variance: 0.000999; Size: 1000; Time: 626.519 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 999 ; iter: 200;
Z(4, 17; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 685.33 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 18; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 716.469 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(4, 19; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 747.933 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
