Z(2, 2; 3, 3): Max: 4; Mean: 4; Variance: 0; Size: 48; Time: 4.5555 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 48 ; iter: [1,3,6,12];
Z(2, 3; 3, 3): Max: 6; Mean: 6; Variance: 0; Size: 96; Time: 4.4704 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 4; 3, 3): Max: 8; Mean: 8; Variance: 0; Size: 96; Time: 4.6606 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 5; 3, 3): Max: 10; Mean: 10; Variance: 0; Size: 96; Time: 4.8303 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 6; 3, 3): Max: 12; Mean: 12; Variance: 0; Size: 96; Time: 4.9094 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 7; 3, 3): Max: 14; Mean: 14; Variance: 0; Size: 96; Time: 4.6736 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 8; 3, 3): Max: 16; Mean: 16; Variance: 0; Size: 96; Time: 4.8145 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 9; 3, 3): Max: 18; Mean: 18; Variance: 0; Size: 96; Time: 5.1832 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 10; 3, 3): Max: 20; Mean: 20; Variance: 0; Size: 96; Time: 4.7364 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 11; 3, 3): Max: 22; Mean: 22; Variance: 0; Size: 96; Time: 4.8768 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 12; 3, 3): Max: 24; Mean: 24; Variance: 0; Size: 96; Time: 5.1115 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 13; 3, 3): Max: 26; Mean: 26; Variance: 0; Size: 96; Time: 5.6402 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 14; 3, 3): Max: 28; Mean: 28; Variance: 0; Size: 96; Time: 4.9043 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(2, 15; 3, 3): Max: 30; Mean: 30; Variance: 0; Size: 96; Time: 5.1087 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
