DYNP_ITER_INPUT_VERTEX_TOP2_N1: 191seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M1: 192seconds
DYNP_ITER_INPUT_VERTEX_TOP2_N2: 188seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M2: 194seconds
DYNP_ITER_INPUT_VERTEX_TOP2_N3: 188seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M3: 190seconds
DYNP_ITER_INPUT_VERTEX_TOP2_N4: 186seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M4: 190seconds
DYNP_ITER_INPUT_VERTEX_TOP2_N5: 185seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M5: 189seconds
DYNP_ITER_INPUT_VERTEX_TOP2: 1897seconds
