Z(3, 7; 3, 3): Max: 16; Mean: 16; Variance: 0; Size: 96; Time: 4.3918 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 8; 3, 3): Max: 18; Mean: 18; Variance: 0; Size: 96; Time: 5.2887 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 9; 3, 3): Max: 20; Mean: 20; Variance: 0; Size: 96; Time: 6.8912 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 10; 3, 3): Max: 22; Mean: 22; Variance: 0; Size: 96; Time: 7.254 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 11; 3, 3): Max: 24; Mean: 24; Variance: 0; Size: 96; Time: 5.7021 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 12; 3, 3): Max: 26; Mean: 26; Variance: 0; Size: 96; Time: 7.0126 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 13; 3, 3): Max: 28; Mean: 28; Variance: 0; Size: 96; Time: 9.1718 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 14; 3, 3): Max: 30; Mean: 30; Variance: 0; Size: 96; Time: 5.6107 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 15; 3, 3): Max: 32; Mean: 32; Variance: 0; Size: 96; Time: 6.9159 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 16; 3, 3): Max: 34; Mean: 34; Variance: 0; Size: 96; Time: 8.6468 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 17; 3, 3): Max: 36; Mean: 36; Variance: 0; Size: 96; Time: 13.0597 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 18; 3, 3): Max: 38; Mean: 38; Variance: 0; Size: 96; Time: 7.2729 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 19; 3, 3): Max: 40; Mean: 40; Variance: 0; Size: 96; Time: 8.8607 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 20; 3, 3): Max: 42; Mean: 42; Variance: 0; Size: 96; Time: 11.9939 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 21; 3, 3): Max: 44; Mean: 44; Variance: 0; Size: 96; Time: 19.9973 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 22; 3, 3): Max: 46; Mean: 46; Variance: 0; Size: 96; Time: 8.6233 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 23; 3, 3): Max: 48; Mean: 48; Variance: 0; Size: 96; Time: 11.0792 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 24; 3, 3): Max: 50; Mean: 50; Variance: 0; Size: 96; Time: 16.8442 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 25; 3, 3): Max: 52; Mean: 52; Variance: 0; Size: 96; Time: 24.3655 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 26; 3, 3): Max: 54; Mean: 54; Variance: 0; Size: 96; Time: 11.6311 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 27; 3, 3): Max: 56; Mean: 56; Variance: 0; Size: 96; Time: 15.3323 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 28; 3, 3): Max: 58; Mean: 58; Variance: 0; Size: 96; Time: 20.0604 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 29; 3, 3): Max: 60; Mean: 60; Variance: 0; Size: 96; Time: 34.5798 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(3, 30; 3, 3): Max: 62; Mean: 62; Variance: 0; Size: 96; Time: 13.8186 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(4, 4; 3, 3): Max: 13; Mean: 12.8646; Variance: 0.117079; Size: 96; Time: 4.0214 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 83 ; iter: [1,3,6,12];
Z(4, 5; 3, 3): Max: 16; Mean: 15.9063; Variance: 0.0849609; Size: 96; Time: 4.9794 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 87 ; iter: [1,3,6,12];
Z(4, 6; 3, 3): Max: 18; Mean: 18; Variance: 0; Size: 96; Time: 7.3464 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(4, 7; 3, 3): Max: 21; Mean: 20.1146; Variance: 0.351454; Size: 96; Time: 4.7465 ms; Top5_Histogram_(relative_to_max): 0 0 12 61 23 ; iter: [1,3,6,12];
Z(4, 8; 3, 3): Max: 24; Mean: 23.5; Variance: 0.333333; Size: 96; Time: 5.9283 ms; Top5_Histogram_(relative_to_max): 0 0 4 40 52 ; iter: [1,3,6,12];
Z(4, 9; 3, 3): Max: 26; Mean: 25.9792; Variance: 0.0203993; Size: 96; Time: 9.096 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 94 ; iter: [1,3,6,12];
Z(4, 10; 3, 3): Max: 28; Mean: 28; Variance: 0; Size: 96; Time: 11.4807 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(4, 11; 3, 3): Max: 30; Mean: 29.2917; Variance: 0.685764; Size: 96; Time: 6.9205 ms; Top5_Histogram_(relative_to_max): 0 2 17 28 49 ; iter: [1,3,6,12];
Z(4, 12; 3, 3): Max: 32; Mean: 31.8854; Variance: 0.101454; Size: 96; Time: 9.0067 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 85 ; iter: [1,3,6,12];
Z(4, 13; 3, 3): Max: 34; Mean: 34; Variance: 0; Size: 96; Time: 14.0256 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(4, 14; 3, 3): Max: 36; Mean: 36; Variance: 0; Size: 96; Time: 21.4984 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: [1,3,6,12];
Z(4, 15; 3, 3): Max: 38; Mean: 37.6667; Variance: 0.368056; Size: 96; Time: 9.2658 ms; Top5_Histogram_(relative_to_max): 0 0 7 18 71 ; iter: [1,3,6,12];
Z(4, 16; 3, 3): Max: 40; Mean: 39.9375; Variance: 0.0585938; Size: 96; Time: 13.4357 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 90 ; iter: [1,3,6,12];
Z(4, 17; 3, 3): Max: 41; Mean: 40.5; Variance: 0.25; Size: 96; Time: 10.8548 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 48 ; iter: [1,3,6,12];
Z(4, 18; 3, 3): Max: 44; Mean: 43; Variance: 1; Size: 96; Time: 14.0628 ms; Top5_Histogram_(relative_to_max): 0 0 48 0 48 ; iter: [1,3,6,12];
Z(4, 19; 3, 3): Max: 46; Mean: 44.75; Variance: 0.791667; Size: 96; Time: 8.2205 ms; Top5_Histogram_(relative_to_max): 0 0 53 14 29 ; iter: [1,3,6,12];
Z(4, 20; 3, 3): Max: 48; Mean: 46.9792; Variance: 0.978733; Size: 96; Time: 10.0943 ms; Top5_Histogram_(relative_to_max): 0 0 48 2 46 ; iter: [1,3,6,12];
Z(4, 21; 3, 3): Max: 50; Mean: 49; Variance: 1; Size: 96; Time: 13.1659 ms; Top5_Histogram_(relative_to_max): 0 0 48 0 48 ; iter: [1,3,6,12];
Z(4, 22; 3, 3): Max: 52; Mean: 51; Variance: 1; Size: 96; Time: 17.9345 ms; Top5_Histogram_(relative_to_max): 0 0 48 0 48 ; iter: [1,3,6,12];
Z(4, 23; 3, 3): Max: 54; Mean: 52.8646; Variance: 0.929579; Size: 96; Time: 9.4757 ms; Top5_Histogram_(relative_to_max): 0 1 49 8 38 ; iter: [1,3,6,12];
Z(4, 24; 3, 3): Max: 56; Mean: 55; Variance: 1; Size: 96; Time: 12.1365 ms; Top5_Histogram_(relative_to_max): 0 0 48 0 48 ; iter: [1,3,6,12];
Z(4, 25; 3, 3): Max: 58; Mean: 57; Variance: 1; Size: 96; Time: 17.515 ms; Top5_Histogram_(relative_to_max): 0 0 48 0 48 ; iter: [1,3,6,12];
Z(4, 26; 3, 3): Max: 60; Mean: 59; Variance: 1; Size: 96; Time: 23.3806 ms; Top5_Histogram_(relative_to_max): 0 0 48 0 48 ; iter: [1,3,6,12];
Z(4, 27; 3, 3): Max: 62; Mean: 60.9583; Variance: 0.956597; Size: 96; Time: 11.5661 ms; Top5_Histogram_(relative_to_max): 0 0 48 4 44 ; iter: [1,3,6,12];
Z(4, 28; 3, 3): Max: 64; Mean: 63; Variance: 1; Size: 96; Time: 15.0367 ms; Top5_Histogram_(relative_to_max): 0 0 48 0 48 ; iter: [1,3,6,12];
Z(4, 29; 3, 3): Max: 66; Mean: 65; Variance: 1; Size: 96; Time: 20.5318 ms; Top5_Histogram_(relative_to_max): 0 0 48 0 48 ; iter: [1,3,6,12];
Z(4, 30; 3, 3): Max: 68; Mean: 67; Variance: 1; Size: 96; Time: 29.4711 ms; Top5_Histogram_(relative_to_max): 0 0 48 0 48 ; iter: [1,3,6,12];
Z(5, 5; 3, 3): Max: 20; Mean: 19.8333; Variance: 0.305556; Size: 96; Time: 4.5368 ms; Top5_Histogram_(relative_to_max): 0 0 8 0 88 ; iter: [1,3,6,12];
Z(5, 6; 3, 3): Max: 22; Mean: 21.9792; Variance: 0.0203993; Size: 96; Time: 5.7083 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 94 ; iter: [1,3,6,12];
Z(5, 7; 3, 3): Max: 25; Mean: 24.9687; Variance: 0.0302734; Size: 96; Time: 8.7548 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 93 ; iter: [1,3,6,12];
Z(5, 8; 3, 3): Max: 28; Mean: 27.8437; Variance: 0.131836; Size: 96; Time: 18.7811 ms; Top5_Histogram_(relative_to_max): 0 0 0 15 81 ; iter: [1,3,6,12];
Z(5, 9; 3, 3): Max: 30; Mean: 29.8333; Variance: 0.138889; Size: 96; Time: 6.1113 ms; Top5_Histogram_(relative_to_max): 0 0 0 16 80 ; iter: [1,3,6,12];
Z(5, 10; 3, 3): Max: 33; Mean: 32.4583; Variance: 0.310764; Size: 96; Time: 7.8763 ms; Top5_Histogram_(relative_to_max): 0 0 3 46 47 ; iter: [1,3,6,12];
Z(5, 11; 3, 3): Max: 36; Mean: 35.1458; Variance: 0.166233; Size: 96; Time: 10.0368 ms; Top5_Histogram_(relative_to_max): 0 0 2 78 16 ; iter: [1,3,6,12];
Z(5, 12; 3, 3): Max: 38; Mean: 37.9375; Variance: 0.0794271; Size: 96; Time: 15.566 ms; Top5_Histogram_(relative_to_max): 0 0 1 4 91 ; iter: [1,3,6,12];
Z(5, 13; 3, 3): Max: 41; Mean: 39.9479; Variance: 0.778537; Size: 96; Time: 8.6924 ms; Top5_Histogram_(relative_to_max): 1 5 19 44 27 ; iter: [1,3,6,12];
