Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 240; Time: 495.722 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 240; Time: 1065.16 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 240; Time: 107.526 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 240; Time: 336.573 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 240; Time: 705.207 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 240; Time: 12.4386 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 4; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 240; Time: 4.3856 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 240; Time: 6.5048 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 240; Time: 10.9439 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 7; 2, 2): Max: 10; Mean: 9.98333; Variance: 0.0163889; Size: 240; Time: 10.7636 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 236 ; iter: 0x7bf120;
Z(3, 8; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 240; Time: 5.8775 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 240; Time: 7.2553 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 240; Time: 9.5405 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 240; Time: 13.3443 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 240; Time: 7.3462 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 240; Time: 8.8475 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 240; Time: 11.6285 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 240; Time: 15.9561 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 16; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 240; Time: 8.3509 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 240; Time: 9.9763 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 240; Time: 12.6672 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 240; Time: 17.8526 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 20; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 240; Time: 9.377 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 21; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 240; Time: 11.4718 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
