Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 400; Time: 33.6296 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 35.9562 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 400; Time: 37.8257 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 41.7131 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 400; Time: 38.7102 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 40.392 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 400; Time: 43.2229 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 3; 2, 2): Max: 6; Mean: 5.96; Variance: 0.0384; Size: 400; Time: 6.2319 ms; Top5_Histogram_(relative_to_max): 0 0 0 16 384 ; iter: 1, 3, 6, 12;
Z(3, 4; 2, 2): Max: 7; Mean: 6.42; Variance: 0.2436; Size: 400; Time: 5.5844 ms; Top5_Histogram_(relative_to_max): 0 0 0 232 168 ; iter: 1, 3, 6, 12;
Z(3, 5; 2, 2): Max: 8; Mean: 7.67; Variance: 0.2211; Size: 400; Time: 6.3346 ms; Top5_Histogram_(relative_to_max): 0 0 0 132 268 ; iter: 1, 3, 6, 12;
Z(3, 6; 2, 2): Max: 9; Mean: 8.915; Variance: 0.077775; Size: 400; Time: 7.6154 ms; Top5_Histogram_(relative_to_max): 0 0 0 34 366 ; iter: 1, 3, 6, 12;
Z(3, 7; 2, 2): Max: 10; Mean: 9.885; Variance: 0.101775; Size: 400; Time: 9.4449 ms; Top5_Histogram_(relative_to_max): 0 0 0 46 354 ; iter: 1, 3, 6, 12;
Z(3, 8; 2, 2): Max: 11; Mean: 10.02; Variance: 0.0196; Size: 400; Time: 8.0439 ms; Top5_Histogram_(relative_to_max): 0 0 0 392 8 ; iter: 1, 3, 6, 12;
Z(3, 9; 2, 2): Max: 12; Mean: 11.39; Variance: 0.2379; Size: 400; Time: 8.6298 ms; Top5_Histogram_(relative_to_max): 0 0 0 244 156 ; iter: 1, 3, 6, 12;
Z(3, 10; 2, 2): Max: 13; Mean: 12.715; Variance: 0.203775; Size: 400; Time: 10.2657 ms; Top5_Histogram_(relative_to_max): 0 0 0 114 286 ; iter: 1, 3, 6, 12;
Z(3, 11; 2, 2): Max: 14; Mean: 13.995; Variance: 0.004975; Size: 400; Time: 23.8252 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(3, 12; 2, 2): Max: 15; Mean: 14.94; Variance: 0.0564; Size: 400; Time: 12.5598 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 376 ; iter: 1, 3, 6, 12;
Z(3, 13; 2, 2): Max: 16; Mean: 15.965; Variance: 0.033775; Size: 400; Time: 12.684 ms; Top5_Histogram_(relative_to_max): 0 0 0 14 386 ; iter: 1, 3, 6, 12;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 400; Time: 14.1162 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 16.2074 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 16; 2, 2): Max: 19; Mean: 18.68; Variance: 0.2176; Size: 400; Time: 12.5267 ms; Top5_Histogram_(relative_to_max): 0 0 0 128 272 ; iter: 1, 3, 6, 12;
