Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 400; Time: 5.9033 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 36.7452 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 400; Time: 33.722 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 36.3815 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 400; Time: 38.5819 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 41.8718 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 400; Time: 38.913 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 41.5071 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 400; Time: 43.5605 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 3; 2, 2): Max: 6; Mean: 5.945; Variance: 0.051975; Size: 400; Time: 6.8894 ms; Top5_Histogram_(relative_to_max): 0 0 0 22 378 ; iter: 1, 3, 6, 12;
Z(3, 4; 2, 2): Max: 7; Mean: 6.35; Variance: 0.2275; Size: 400; Time: 6.1994 ms; Top5_Histogram_(relative_to_max): 0 0 0 260 140 ; iter: 1, 3, 6, 12;
Z(3, 5; 2, 2): Max: 8; Mean: 7.775; Variance: 0.174375; Size: 400; Time: 6.9953 ms; Top5_Histogram_(relative_to_max): 0 0 0 90 310 ; iter: 1, 3, 6, 12;
Z(3, 6; 2, 2): Max: 9; Mean: 8.9; Variance: 0.09; Size: 400; Time: 8.0216 ms; Top5_Histogram_(relative_to_max): 0 0 0 40 360 ; iter: 1, 3, 6, 12;
Z(3, 7; 2, 2): Max: 10; Mean: 9.87; Variance: 0.1131; Size: 400; Time: 9.8276 ms; Top5_Histogram_(relative_to_max): 0 0 0 52 348 ; iter: 1, 3, 6, 12;
Z(3, 8; 2, 2): Max: 11; Mean: 10.005; Variance: 0.004975; Size: 400; Time: 8.1504 ms; Top5_Histogram_(relative_to_max): 0 0 0 398 2 ; iter: 1, 3, 6, 12;
Z(3, 9; 2, 2): Max: 12; Mean: 11.365; Variance: 0.231775; Size: 400; Time: 9.18 ms; Top5_Histogram_(relative_to_max): 0 0 0 254 146 ; iter: 1, 3, 6, 12;
Z(3, 10; 2, 2): Max: 13; Mean: 12.675; Variance: 0.219375; Size: 400; Time: 10.8391 ms; Top5_Histogram_(relative_to_max): 0 0 0 130 270 ; iter: 1, 3, 6, 12;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 24.2053 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 12; 2, 2): Max: 15; Mean: 14.94; Variance: 0.0564; Size: 400; Time: 13.5829 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 376 ; iter: 1, 3, 6, 12;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 400; Time: 13.5943 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 14; 2, 2): Max: 17; Mean: 16.955; Variance: 0.042975; Size: 400; Time: 14.3831 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 382 ; iter: 1, 3, 6, 12;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 17.4869 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 16; 2, 2): Max: 19; Mean: 18.735; Variance: 0.194775; Size: 400; Time: 13.0203 ms; Top5_Histogram_(relative_to_max): 0 0 0 106 294 ; iter: 1, 3, 6, 12;
Z(3, 17; 2, 2): Max: 20; Mean: 19.955; Variance: 0.042975; Size: 400; Time: 15.3213 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 382 ; iter: 1, 3, 6, 12;
Z(3, 18; 2, 2): Max: 21; Mean: 20.99; Variance: 0.0099; Size: 400; Time: 17.3585 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 396 ; iter: 1, 3, 6, 12;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 400; Time: 20.9838 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 20; 2, 2): Max: 23; Mean: 22.58; Variance: 0.2436; Size: 400; Time: 16.3076 ms; Top5_Histogram_(relative_to_max): 0 0 0 168 232 ; iter: 1, 3, 6, 12;
Z(3, 21; 2, 2): Max: 24; Mean: 23.935; Variance: 0.060775; Size: 400; Time: 19.3125 ms; Top5_Histogram_(relative_to_max): 0 0 0 26 374 ; iter: 1, 3, 6, 12;
Z(3, 22; 2, 2): Max: 25; Mean: 24.99; Variance: 0.0099; Size: 400; Time: 20.9075 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 396 ; iter: 1, 3, 6, 12;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 24.6471 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 24; 2, 2): Max: 27; Mean: 26.495; Variance: 0.249975; Size: 400; Time: 19.4967 ms; Top5_Histogram_(relative_to_max): 0 0 0 202 198 ; iter: 1, 3, 6, 12;
Z(3, 25; 2, 2): Max: 28; Mean: 27.905; Variance: 0.085975; Size: 400; Time: 21.7089 ms; Top5_Histogram_(relative_to_max): 0 0 0 38 362 ; iter: 1, 3, 6, 12;
Z(3, 26; 2, 2): Max: 29; Mean: 28.995; Variance: 0.004975; Size: 400; Time: 25.2072 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 400; Time: 29.4832 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 28; 2, 2): Max: 31; Mean: 30.555; Variance: 0.246975; Size: 400; Time: 23.1143 ms; Top5_Histogram_(relative_to_max): 0 0 0 178 222 ; iter: 1, 3, 6, 12;
Z(3, 29; 2, 2): Max: 32; Mean: 31.92; Variance: 0.0736; Size: 400; Time: 25.7113 ms; Top5_Histogram_(relative_to_max): 0 0 0 32 368 ; iter: 1, 3, 6, 12;
Z(3, 30; 2, 2): Max: 33; Mean: 32.975; Variance: 0.024375; Size: 400; Time: 29.5561 ms; Top5_Histogram_(relative_to_max): 0 0 0 10 390 ; iter: 1, 3, 6, 12;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 34.894 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 32; 2, 2): Max: 35; Mean: 34.505; Variance: 0.249975; Size: 400; Time: 27.8188 ms; Top5_Histogram_(relative_to_max): 0 0 0 198 202 ; iter: 1, 3, 6, 12;
Z(3, 33; 2, 2): Max: 36; Mean: 35.855; Variance: 0.123975; Size: 400; Time: 34.8709 ms; Top5_Histogram_(relative_to_max): 0 0 0 58 342 ; iter: 1, 3, 6, 12;
Z(3, 34; 2, 2): Max: 37; Mean: 36.985; Variance: 0.014775; Size: 400; Time: 35.1471 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 394 ; iter: 1, 3, 6, 12;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 40.588 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 36; 2, 2): Max: 39; Mean: 38.48; Variance: 0.2496; Size: 400; Time: 32.9033 ms; Top5_Histogram_(relative_to_max): 0 0 0 208 192 ; iter: 1, 3, 6, 12;
Z(3, 37; 2, 2): Max: 40; Mean: 39.85; Variance: 0.1275; Size: 400; Time: 35.4156 ms; Top5_Histogram_(relative_to_max): 0 0 0 60 340 ; iter: 1, 3, 6, 12;
Z(3, 38; 2, 2): Max: 41; Mean: 40.975; Variance: 0.024375; Size: 400; Time: 39.8455 ms; Top5_Histogram_(relative_to_max): 0 0 0 10 390 ; iter: 1, 3, 6, 12;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 400; Time: 47.0425 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 40; 2, 2): Max: 43; Mean: 42.495; Variance: 0.249975; Size: 400; Time: 38.0068 ms; Top5_Histogram_(relative_to_max): 0 0 0 202 198 ; iter: 1, 3, 6, 12;
Z(4, 4; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 400; Time: 7.0966 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 400; Time: 8.2873 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 6; 2, 2): Max: 12; Mean: 11.67; Variance: 0.2211; Size: 400; Time: 11.0614 ms; Top5_Histogram_(relative_to_max): 0 0 0 132 268 ; iter: 1, 3, 6, 12;
Z(4, 7; 2, 2): Max: 13; Mean: 12.205; Variance: 0.162975; Size: 400; Time: 9.2175 ms; Top5_Histogram_(relative_to_max): 0 0 0 318 82 ; iter: 1, 3, 6, 12;
Z(4, 8; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 400; Time: 10.4753 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 9; 2, 2): Max: 15; Mean: 14.47; Variance: 0.2491; Size: 400; Time: 12.5926 ms; Top5_Histogram_(relative_to_max): 0 0 0 212 188 ; iter: 1, 3, 6, 12;
Z(4, 10; 2, 2): Max: 16; Mean: 15.69; Variance: 0.2139; Size: 400; Time: 15.7738 ms; Top5_Histogram_(relative_to_max): 0 0 0 124 276 ; iter: 1, 3, 6, 12;
Z(4, 11; 2, 2): Max: 17; Mean: 16.16; Variance: 0.1344; Size: 400; Time: 12.5836 ms; Top5_Histogram_(relative_to_max): 0 0 0 336 64 ; iter: 1, 3, 6, 12;
Z(4, 12; 2, 2): Max: 18; Mean: 17.35; Variance: 0.2275; Size: 400; Time: 14.2884 ms; Top5_Histogram_(relative_to_max): 0 0 0 260 140 ; iter: 1, 3, 6, 12;
Z(4, 13; 2, 2): Max: 19; Mean: 18.015; Variance: 0.014775; Size: 400; Time: 18.2801 ms; Top5_Histogram_(relative_to_max): 0 0 0 394 6 ; iter: 1, 3, 6, 12;
Z(4, 14; 2, 2): Max: 20; Mean: 19.005; Variance: 0.004975; Size: 400; Time: 26.9721 ms; Top5_Histogram_(relative_to_max): 0 0 0 398 2 ; iter: 1, 3, 6, 12;
Z(4, 15; 2, 2): Max: 21; Mean: 20.075; Variance: 0.069375; Size: 400; Time: 16.9133 ms; Top5_Histogram_(relative_to_max): 0 0 0 370 30 ; iter: 1, 3, 6, 12;
Z(4, 16; 2, 2): Max: 22; Mean: 21.045; Variance: 0.092975; Size: 400; Time: 24.6385 ms; Top5_Histogram_(relative_to_max): 0 0 10 362 28 ; iter: 1, 3, 6, 12;
Z(4, 17; 2, 2): Max: 23; Mean: 22.275; Variance: 0.199375; Size: 400; Time: 41.8376 ms; Top5_Histogram_(relative_to_max): 0 0 0 290 110 ; iter: 1, 3, 6, 12;
Z(4, 18; 2, 2): Max: 24; Mean: 23.44; Variance: 0.2464; Size: 400; Time: 47.6617 ms; Top5_Histogram_(relative_to_max): 0 0 0 224 176 ; iter: 1, 3, 6, 12;
Z(4, 19; 2, 2): Max: 25; Mean: 24.16; Variance: 0.1344; Size: 400; Time: 21.3219 ms; Top5_Histogram_(relative_to_max): 0 0 0 336 64 ; iter: 1, 3, 6, 12;
Z(4, 20; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 49.6511 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 21; 2, 2): Max: 27; Mean: 26.51; Variance: 0.2499; Size: 400; Time: 78.0058 ms; Top5_Histogram_(relative_to_max): 0 0 0 196 204 ; iter: 1, 3, 6, 12;
Z(4, 22; 2, 2): Max: 28; Mean: 27.76; Variance: 0.1924; Size: 400; Time: 49.7561 ms; Top5_Histogram_(relative_to_max): 0 0 2 92 306 ; iter: 1, 3, 6, 12;
Z(4, 23; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 400; Time: 172.882 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 24; 2, 2): Max: 30; Mean: 29.98; Variance: 0.0196; Size: 400; Time: 41.6698 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 392 ; iter: 1, 3, 6, 12;
Z(4, 25; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 400; Time: 45.8176 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 400; Time: 42.9033 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 27; 2, 2): Max: 33; Mean: 32.145; Variance: 0.123975; Size: 400; Time: 33.6343 ms; Top5_Histogram_(relative_to_max): 0 0 0 342 58 ; iter: 1, 3, 6, 12;
Z(4, 28; 2, 2): Max: 34; Mean: 33.745; Variance: 0.189975; Size: 400; Time: 40.3443 ms; Top5_Histogram_(relative_to_max): 0 0 0 102 298 ; iter: 1, 3, 6, 12;
Z(4, 29; 2, 2): Max: 35; Mean: 34.97; Variance: 0.0291; Size: 400; Time: 50.6186 ms; Top5_Histogram_(relative_to_max): 0 0 0 12 388 ; iter: 1, 3, 6, 12;
Z(4, 30; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 62.3813 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 31; 2, 2): Max: 37; Mean: 36.75; Variance: 0.1875; Size: 400; Time: 407.243 ms; Top5_Histogram_(relative_to_max): 0 0 0 100 300 ; iter: 1, 3, 6, 12;
Z(4, 32; 2, 2): Max: 38; Mean: 37.465; Variance: 0.248775; Size: 400; Time: 54.1731 ms; Top5_Histogram_(relative_to_max): 0 0 0 214 186 ; iter: 1, 3, 6, 12;
Z(4, 33; 2, 2): Max: 39; Mean: 38.675; Variance: 0.219375; Size: 400; Time: 68.5467 ms; Top5_Histogram_(relative_to_max): 0 0 0 130 270 ; iter: 1, 3, 6, 12;
Z(4, 34; 2, 2): Max: 40; Mean: 39.99; Variance: 0.0099; Size: 400; Time: 67.3103 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 396 ; iter: 1, 3, 6, 12;
Z(4, 35; 2, 2): Max: 41; Mean: 40.865; Variance: 0.116775; Size: 400; Time: 48.4179 ms; Top5_Histogram_(relative_to_max): 0 0 0 54 346 ; iter: 1, 3, 6, 12;
Z(4, 36; 2, 2): Max: 42; Mean: 41.17; Variance: 0.1411; Size: 400; Time: 48.246 ms; Top5_Histogram_(relative_to_max): 0 0 0 332 68 ; iter: 1, 3, 6, 12;
Z(4, 37; 2, 2): Max: 43; Mean: 42.635; Variance: 0.231775; Size: 400; Time: 55.1391 ms; Top5_Histogram_(relative_to_max): 0 0 0 146 254 ; iter: 1, 3, 6, 12;
Z(4, 38; 2, 2): Max: 44; Mean: 44; Variance: 0; Size: 400; Time: 66.3306 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 39; 2, 2): Max: 45; Mean: 44.405; Variance: 0.240975; Size: 400; Time: 53.115 ms; Top5_Histogram_(relative_to_max): 0 0 0 238 162 ; iter: 1, 3, 6, 12;
Z(4, 40; 2, 2): Max: 46; Mean: 45.135; Variance: 0.116775; Size: 400; Time: 56.302 ms; Top5_Histogram_(relative_to_max): 0 0 0 346 54 ; iter: 1, 3, 6, 12;
Z(5, 5; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 400; Time: 8.9902 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 6; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 11.4231 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 7; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 400; Time: 10.4383 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 8; 2, 2): Max: 17; Mean: 16.475; Variance: 0.249375; Size: 400; Time: 12.7608 ms; Top5_Histogram_(relative_to_max): 0 0 0 210 190 ; iter: 1, 3, 6, 12;
Z(5, 9; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 14.1033 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 10; 2, 2): Max: 20; Mean: 19.13; Variance: 0.1131; Size: 400; Time: 19.1502 ms; Top5_Histogram_(relative_to_max): 0 0 0 348 52 ; iter: 1, 3, 6, 12;
Z(5, 11; 2, 2): Max: 21; Mean: 20.025; Variance: 0.024375; Size: 400; Time: 15.5533 ms; Top5_Histogram_(relative_to_max): 0 0 0 390 10 ; iter: 1, 3, 6, 12;
Z(5, 12; 2, 2): Max: 22; Mean: 21.015; Variance: 0.014775; Size: 400; Time: 17.188 ms; Top5_Histogram_(relative_to_max): 0 0 0 394 6 ; iter: 1, 3, 6, 12;
Z(5, 13; 2, 2): Max: 23; Mean: 22.02; Variance: 0.0196; Size: 400; Time: 20.3458 ms; Top5_Histogram_(relative_to_max): 0 0 0 392 8 ; iter: 1, 3, 6, 12;
Z(5, 14; 2, 2): Max: 24; Mean: 23.36; Variance: 0.2304; Size: 400; Time: 26.377 ms; Top5_Histogram_(relative_to_max): 0 0 0 256 144 ; iter: 1, 3, 6, 12;
Z(5, 15; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 400; Time: 20.1371 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 16; 2, 2): Max: 26; Mean: 25.155; Variance: 0.140975; Size: 400; Time: 24.4066 ms; Top5_Histogram_(relative_to_max): 0 0 2 334 64 ; iter: 1, 3, 6, 12;
Z(5, 17; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 27.4627 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 18; 2, 2): Max: 28; Mean: 27.505; Variance: 0.249975; Size: 400; Time: 35.1559 ms; Top5_Histogram_(relative_to_max): 0 0 0 198 202 ; iter: 1, 3, 6, 12;
Z(5, 19; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 400; Time: 25.2926 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 20; 2, 2): Max: 30; Mean: 29.46; Variance: 0.2484; Size: 400; Time: 32.0689 ms; Top5_Histogram_(relative_to_max): 0 0 0 216 184 ; iter: 1, 3, 6, 12;
Z(5, 21; 2, 2): Max: 31; Mean: 29.875; Variance: 0.139375; Size: 400; Time: 37.2444 ms; Top5_Histogram_(relative_to_max): 0 4 44 350 2 ; iter: 1, 3, 6, 12;
Z(5, 22; 2, 2): Max: 32; Mean: 30.575; Variance: 0.334375; Size: 400; Time: 48.4303 ms; Top5_Histogram_(relative_to_max): 0 12 152 230 6 ; iter: 1, 3, 6, 12;
Z(5, 23; 2, 2): Max: 33; Mean: 31.95; Variance: 0.0575; Size: 400; Time: 35.7262 ms; Top5_Histogram_(relative_to_max): 0 0 22 376 2 ; iter: 1, 3, 6, 12;
Z(5, 24; 2, 2): Max: 34; Mean: 32.935; Variance: 0.200775; Size: 400; Time: 41.0448 ms; Top5_Histogram_(relative_to_max): 0 2 48 324 26 ; iter: 1, 3, 6, 12;
Z(5, 25; 2, 2): Max: 35; Mean: 33.58; Variance: 0.3036; Size: 400; Time: 45.3835 ms; Top5_Histogram_(relative_to_max): 0 10 150 238 2 ; iter: 1, 3, 6, 12;
Z(5, 26; 2, 2): Max: 36; Mean: 34.38; Variance: 0.5256; Size: 400; Time: 74.49 ms; Top5_Histogram_(relative_to_max): 0 42 180 162 16 ; iter: 1, 3, 6, 12;
Z(5, 27; 2, 2): Max: 36; Mean: 35.92; Variance: 0.0736; Size: 400; Time: 41.4811 ms; Top5_Histogram_(relative_to_max): 0 0 0 32 368 ; iter: 1, 3, 6, 12;
Z(5, 28; 2, 2): Max: 38; Mean: 36.83; Variance: 0.2011; Size: 400; Time: 45.4121 ms; Top5_Histogram_(relative_to_max): 0 2 74 314 10 ; iter: 1, 3, 6, 12;
