Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 72; Time: 22.2856 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 72; Time: 28.6269 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 72; Time: 24.0997 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 72; Time: 27.8273 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 72; Time: 26.0463 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 72; Time: 25.377 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 72; Time: 28.1208 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 72; Time: 27.8328 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 72; Time: 26.873 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 72; Time: 27.0121 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 72; Time: 27.4744 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
