Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 24; Time: 2.2415 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 72; Time: 2.1643 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 72; Time: 2.6303 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 72; Time: 2.8726 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 72; Time: 3.1964 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 72; Time: 4.2626 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 72; Time: 3.6471 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 72; Time: 4.0882 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 72; Time: 3.0813 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 72; Time: 3.6023 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 72; Time: 3.8674 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 72; Time: 5.0151 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 72; Time: 3.8836 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 72; Time: 4.4856 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 72; Time: 5.263 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 72; Time: 6.132 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 72; Time: 4.7112 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 72; Time: 5.5209 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 72; Time: 6.0575 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 72; Time: 7.569 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 72; Time: 6.5905 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 72; Time: 6.6702 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 72; Time: 8.4061 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 72; Time: 10.6622 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 72; Time: 6.6886 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 72; Time: 7.673 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 72; Time: 11.1572 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 72; Time: 12.3686 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 72; Time: 8.6493 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 72; Time: 8.1351 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 72; Time: 11.3687 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 72; Time: 13.6959 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 72; Time: 8.4574 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 72; Time: 9.9177 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 72; Time: 11.6565 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 72; Time: 17.4102 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 72; Time: 9.9875 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 72; Time: 12.3421 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 72; Time: 12.9664 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 72; Time: 3.6312 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 4; 2, 2): Max: 7; Mean: 6.79167; Variance: 0.164931; Size: 72; Time: 3.9851 ms; Top5_Histogram_(relative_to_max): 0 0 0 15 57 ; iter: 0x7cf080;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 96; Time: 4.8005 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 72; Time: 4.9052 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 7; 2, 2): Max: 10; Mean: 9.91667; Variance: 0.0763889; Size: 72; Time: 4.7348 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 66 ; iter: 0x7cf080;
Z(3, 8; 2, 2): Max: 11; Mean: 10.6562; Variance: 0.225586; Size: 96; Time: 5.3456 ms; Top5_Histogram_(relative_to_max): 0 0 0 33 63 ; iter: 0x7cf080;
Z(3, 9; 2, 2): Max: 12; Mean: 11.8854; Variance: 0.101454; Size: 96; Time: 7.2476 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 85 ; iter: 0x7cf080;
Z(3, 10; 2, 2): Max: 13; Mean: 12.9375; Variance: 0.0585938; Size: 96; Time: 6.5674 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 90 ; iter: 0x7cf080;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 96; Time: 8.9026 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 12; 2, 2): Max: 15; Mean: 14.7778; Variance: 0.17284; Size: 72; Time: 6.7498 ms; Top5_Histogram_(relative_to_max): 0 0 0 16 56 ; iter: 0x7cf080;
Z(3, 13; 2, 2): Max: 16; Mean: 15.9062; Variance: 0.0849609; Size: 96; Time: 7.1547 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 87 ; iter: 0x7cf080;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 96; Time: 9.2229 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 72; Time: 9.2023 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 16; 2, 2): Max: 19; Mean: 18.9028; Variance: 0.0877701; Size: 72; Time: 6.7292 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 65 ; iter: 0x7cf080;
Z(3, 17; 2, 2): Max: 20; Mean: 19.9271; Variance: 0.0675998; Size: 96; Time: 9.5252 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 89 ; iter: 0x7cf080;
Z(3, 18; 2, 2): Max: 21; Mean: 20.9896; Variance: 0.0103082; Size: 96; Time: 9.9562 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 95 ; iter: 0x7cf080;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 96; Time: 11.948 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 20; 2, 2): Max: 23; Mean: 22.9861; Variance: 0.013696; Size: 72; Time: 8.3478 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 71 ; iter: 0x7cf080;
Z(3, 21; 2, 2): Max: 24; Mean: 23.9583; Variance: 0.0399306; Size: 96; Time: 11.8658 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 92 ; iter: 0x7cf080;
Z(3, 22; 2, 2): Max: 25; Mean: 24.9896; Variance: 0.0103082; Size: 96; Time: 11.9101 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 95 ; iter: 0x7cf080;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 96; Time: 15.7592 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 24; 2, 2): Max: 27; Mean: 26.9167; Variance: 0.0763889; Size: 72; Time: 9.1624 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 66 ; iter: 0x7cf080;
Z(3, 25; 2, 2): Max: 28; Mean: 27.9479; Variance: 0.0493707; Size: 96; Time: 15.0395 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 91 ; iter: 0x7cf080;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 96; Time: 15.7732 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 72; Time: 14.6746 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 28; 2, 2): Max: 31; Mean: 30.9722; Variance: 0.0270062; Size: 72; Time: 12.0917 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 70 ; iter: 0x7cf080;
Z(3, 29; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 96; Time: 15.7992 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 72; Time: 14.958 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 72; Time: 17.4292 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 32; 2, 2): Max: 35; Mean: 34.9861; Variance: 0.013696; Size: 72; Time: 12.9379 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 71 ; iter: 0x7cf080;
Z(3, 33; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 96; Time: 18.3521 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 34; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 72; Time: 16.5026 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 72; Time: 20.0613 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 36; 2, 2): Max: 39; Mean: 38.9861; Variance: 0.013696; Size: 72; Time: 14.1887 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 71 ; iter: 0x7cf080;
Z(3, 37; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 96; Time: 19.4124 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 38; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 72; Time: 17.7184 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 72; Time: 21.5072 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 40; 2, 2): Max: 43; Mean: 42.9861; Variance: 0.013696; Size: 72; Time: 15.9744 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 71 ; iter: 0x7cf080;
Z(4, 4; 2, 2): Max: 9; Mean: 8.8125; Variance: 0.19401; Size: 96; Time: 5.2498 ms; Top5_Histogram_(relative_to_max): 0 0 2 14 80 ; iter: 0x7cf080;
Z(4, 5; 2, 2): Max: 10; Mean: 9.99167; Variance: 0.00826389; Size: 120; Time: 7.8145 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 119 ; iter: 0x7cf080;
Z(4, 6; 2, 2): Max: 12; Mean: 11.8854; Variance: 0.101454; Size: 96; Time: 7.5243 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 85 ; iter: 0x7cf080;
Z(4, 7; 2, 2): Max: 13; Mean: 12.5104; Variance: 0.270725; Size: 96; Time: 7.5912 ms; Top5_Histogram_(relative_to_max): 0 0 1 45 50 ; iter: 0x7cf080;
Z(4, 8; 2, 2): Max: 14; Mean: 13.925; Variance: 0.069375; Size: 120; Time: 8.7928 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 111 ; iter: 0x7cf080;
Z(4, 9; 2, 2): Max: 15; Mean: 14.9583; Variance: 0.0399306; Size: 96; Time: 9.758 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 92 ; iter: 0x7cf080;
Z(4, 10; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 96; Time: 12.0968 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(4, 11; 2, 2): Max: 17; Mean: 16.8889; Variance: 0.0987654; Size: 72; Time: 6.6331 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 64 ; iter: 0x7cf080;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 96; Time: 11.5046 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(4, 13; 2, 2): Max: 19; Mean: 18.75; Variance: 0.1875; Size: 72; Time: 9.1221 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 54 ; iter: 0x7cf080;
Z(4, 14; 2, 2): Max: 20; Mean: 19.8229; Variance: 0.145725; Size: 96; Time: 12.5324 ms; Top5_Histogram_(relative_to_max): 0 0 0 17 79 ; iter: 0x7cf080;
