Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 10; Time: 16.3908 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 10; Time: 16.7924 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 10; Time: 15.6755 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 10; Time: 16.0895 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 10; Time: 17.7429 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 10; Time: 16.0494 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 10; Time: 16.5661 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 10; Time: 18.9598 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 10; Time: 19.5931 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 10; Time: 16.1694 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 10; Time: 16.6656 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 10; Time: 18.8934 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 10; Time: 16.2258 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 10; Time: 16.1949 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 10; Time: 17.8501 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 10; Time: 16.1929 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 10; Time: 17.4131 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 10; Time: 19.5259 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 10; Time: 19.165 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
