Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 128; Time: 28.6767 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 24; 2, 2): Max: 27; Mean: 26.9766; Variance: 0.0228882; Size: 128; Time: 22.1996 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 125 ; iter: 0x65f080;
Z(3, 25; 2, 2): Max: 28; Mean: 27.9766; Variance: 0.0228882; Size: 128; Time: 22.7555 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 125 ; iter: 0x65f080;
Z(3, 26; 2, 2): Max: 29; Mean: 28.9922; Variance: 0.00775146; Size: 128; Time: 25.3004 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 127 ; iter: 0x65f080;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 128; Time: 29.4209 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 28; 2, 2): Max: 31; Mean: 30.9609; Variance: 0.0375366; Size: 128; Time: 23.8686 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 123 ; iter: 0x65f080;
Z(3, 29; 2, 2): Max: 32; Mean: 31.9766; Variance: 0.0228882; Size: 128; Time: 25.0866 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 125 ; iter: 0x65f080;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 128; Time: 27.6795 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 128; Time: 37.8126 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 32; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 128; Time: 26.1098 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 33; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 128; Time: 28.9514 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 34; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 128; Time: 33.7113 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 128; Time: 43.3421 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 36; 2, 2): Max: 39; Mean: 38.9922; Variance: 0.00775146; Size: 128; Time: 28.9559 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 127 ; iter: 0x65f080;
Z(3, 37; 2, 2): Max: 40; Mean: 39.9922; Variance: 0.00775146; Size: 128; Time: 30.3299 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 127 ; iter: 0x65f080;
Z(3, 38; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 128; Time: 33.9223 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 128; Time: 49.1831 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(3, 40; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 128; Time: 31.9155 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(4, 4; 2, 2): Max: 9; Mean: 8.8125; Variance: 0.183594; Size: 128; Time: 15.7581 ms; Top5_Histogram_(relative_to_max): 0 0 2 20 106 ; iter: 0x65f080;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 160; Time: 17.9767 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f080;
Z(4, 6; 2, 2): Max: 12; Mean: 11.8359; Variance: 0.137146; Size: 128; Time: 18.1925 ms; Top5_Histogram_(relative_to_max): 0 0 0 21 107 ; iter: 0x65f080;
Z(4, 7; 2, 2): Max: 13; Mean: 12.3281; Variance: 0.267334; Size: 128; Time: 16.4287 ms; Top5_Histogram_(relative_to_max): 0 1 0 83 44 ; iter: 0x65f080;
Z(4, 8; 2, 2): Max: 14; Mean: 13.9813; Variance: 0.0183984; Size: 160; Time: 18.6896 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 157 ; iter: 0x65f080;
Z(4, 9; 2, 2): Max: 15; Mean: 14.9922; Variance: 0.00775146; Size: 128; Time: 19.7737 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 127 ; iter: 0x65f080;
Z(4, 10; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 128; Time: 23.5804 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 128 ; iter: 0x65f080;
Z(4, 11; 2, 2): Max: 17; Mean: 16.875; Variance: 0.109375; Size: 128; Time: 18.7016 ms; Top5_Histogram_(relative_to_max): 0 0 0 16 112 ; iter: 0x65f080;
Z(4, 12; 2, 2): Max: 18; Mean: 17.95; Variance: 0.0475; Size: 160; Time: 23.0527 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 152 ; iter: 0x65f080;
Z(4, 13; 2, 2): Max: 19; Mean: 18.6953; Variance: 0.211853; Size: 128; Time: 20.5571 ms; Top5_Histogram_(relative_to_max): 0 0 0 39 89 ; iter: 0x65f080;
Z(4, 14; 2, 2): Max: 20; Mean: 19.6062; Variance: 0.238711; Size: 160; Time: 25.7754 ms; Top5_Histogram_(relative_to_max): 0 0 0 63 97 ; iter: 0x65f080;
Z(4, 15; 2, 2): Max: 21; Mean: 20.4312; Variance: 0.320273; Size: 160; Time: 22.1038 ms; Top5_Histogram_(relative_to_max): 0 2 0 85 73 ; iter: 0x65f080;
Z(4, 16; 2, 2): Max: 22; Mean: 21.575; Variance: 0.281875; Size: 160; Time: 22.98 ms; Top5_Histogram_(relative_to_max): 0 1 0 65 94 ; iter: 0x65f080;
Z(4, 17; 2, 2): Max: 23; Mean: 22.85; Variance: 0.1275; Size: 160; Time: 25.475 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 136 ; iter: 0x65f080;
Z(4, 18; 2, 2): Max: 24; Mean: 23.775; Variance: 0.174375; Size: 160; Time: 30.6387 ms; Top5_Histogram_(relative_to_max): 0 0 0 36 124 ; iter: 0x65f080;
Z(4, 19; 2, 2): Max: 25; Mean: 24.275; Variance: 0.349375; Size: 160; Time: 24.8876 ms; Top5_Histogram_(relative_to_max): 0 4 0 104 52 ; iter: 0x65f080;
Z(4, 20; 2, 2): Max: 26; Mean: 25.6938; Variance: 0.212461; Size: 160; Time: 25.4139 ms; Top5_Histogram_(relative_to_max): 0 0 0 49 111 ; iter: 0x65f080;
Z(4, 21; 2, 2): Max: 27; Mean: 26.6437; Variance: 0.229336; Size: 160; Time: 32.6834 ms; Top5_Histogram_(relative_to_max): 0 0 0 57 103 ; iter: 0x65f080;
Z(4, 22; 2, 2): Max: 28; Mean: 27.7688; Variance: 0.177773; Size: 160; Time: 35.3652 ms; Top5_Histogram_(relative_to_max): 0 0 0 37 123 ; iter: 0x65f080;
Z(4, 23; 2, 2): Max: 29; Mean: 28.375; Variance: 0.271875; Size: 160; Time: 27.6049 ms; Top5_Histogram_(relative_to_max): 0 1 0 97 62 ; iter: 0x65f080;
Z(4, 24; 2, 2): Max: 30; Mean: 29.8438; Variance: 0.131836; Size: 160; Time: 29.1806 ms; Top5_Histogram_(relative_to_max): 0 0 0 25 135 ; iter: 0x65f080;
Z(4, 25; 2, 2): Max: 31; Mean: 30.75; Variance: 0.1875; Size: 160; Time: 34.55 ms; Top5_Histogram_(relative_to_max): 0 0 0 40 120 ; iter: 0x65f080;
Z(4, 26; 2, 2): Max: 32; Mean: 31.7875; Variance: 0.167344; Size: 160; Time: 40.6508 ms; Top5_Histogram_(relative_to_max): 0 0 0 34 126 ; iter: 0x65f080;
Z(4, 27; 2, 2): Max: 33; Mean: 32.325; Variance: 0.294375; Size: 160; Time: 31.2474 ms; Top5_Histogram_(relative_to_max): 0 2 0 102 56 ; iter: 0x65f080;
Z(4, 28; 2, 2): Max: 34; Mean: 33.7813; Variance: 0.170898; Size: 160; Time: 33.4565 ms; Top5_Histogram_(relative_to_max): 0 0 0 35 125 ; iter: 0x65f080;
Z(4, 29; 2, 2): Max: 35; Mean: 34.775; Variance: 0.174375; Size: 160; Time: 39.7809 ms; Top5_Histogram_(relative_to_max): 0 0 0 36 124 ; iter: 0x65f080;
Z(4, 30; 2, 2): Max: 36; Mean: 35.5875; Variance: 0.242344; Size: 160; Time: 50.4641 ms; Top5_Histogram_(relative_to_max): 0 0 0 66 94 ; iter: 0x65f080;
Z(4, 31; 2, 2): Max: 37; Mean: 36.625; Variance: 0.234375; Size: 160; Time: 35.417 ms; Top5_Histogram_(relative_to_max): 0 0 0 60 100 ; iter: 0x65f080;
Z(4, 32; 2, 2): Max: 38; Mean: 37.5875; Variance: 0.242344; Size: 160; Time: 39.5776 ms; Top5_Histogram_(relative_to_max): 0 0 0 66 94 ; iter: 0x65f080;
Z(4, 33; 2, 2): Max: 39; Mean: 38.675; Variance: 0.219375; Size: 160; Time: 46.0472 ms; Top5_Histogram_(relative_to_max): 0 0 0 52 108 ; iter: 0x65f080;
Z(4, 34; 2, 2): Max: 40; Mean: 39.8; Variance: 0.16; Size: 160; Time: 58.1699 ms; Top5_Histogram_(relative_to_max): 0 0 0 32 128 ; iter: 0x65f080;
Z(4, 35; 2, 2): Max: 41; Mean: 40.45; Variance: 0.2475; Size: 160; Time: 41.7358 ms; Top5_Histogram_(relative_to_max): 0 0 0 88 72 ; iter: 0x65f080;
Z(4, 36; 2, 2): Max: 42; Mean: 41.65; Variance: 0.2275; Size: 160; Time: 49.8223 ms; Top5_Histogram_(relative_to_max): 0 0 0 56 104 ; iter: 0x65f080;
Z(4, 37; 2, 2): Max: 43; Mean: 42.7812; Variance: 0.170898; Size: 160; Time: 52.2149 ms; Top5_Histogram_(relative_to_max): 0 0 0 35 125 ; iter: 0x65f080;
Z(4, 38; 2, 2): Max: 44; Mean: 43.6; Variance: 0.24; Size: 160; Time: 67.3219 ms; Top5_Histogram_(relative_to_max): 0 0 0 64 96 ; iter: 0x65f080;
Z(4, 39; 2, 2): Max: 45; Mean: 44.675; Variance: 0.256875; Size: 160; Time: 43.589 ms; Top5_Histogram_(relative_to_max): 0 1 0 49 110 ; iter: 0x65f080;
Z(4, 40; 2, 2): Max: 46; Mean: 45.7563; Variance: 0.184336; Size: 160; Time: 46.5986 ms; Top5_Histogram_(relative_to_max): 0 0 0 39 121 ; iter: 0x65f080;
Z(5, 5; 2, 2): Max: 12; Mean: 11.8359; Variance: 0.137146; Size: 128; Time: 17.6021 ms; Top5_Histogram_(relative_to_max): 0 0 0 21 107 ; iter: 0x65f080;
Z(5, 6; 2, 2): Max: 14; Mean: 13.8906; Variance: 0.0974121; Size: 128; Time: 19.644 ms; Top5_Histogram_(relative_to_max): 0 0 0 14 114 ; iter: 0x65f080;
Z(5, 7; 2, 2): Max: 15; Mean: 14.7125; Variance: 0.254844; Size: 160; Time: 18.9754 ms; Top5_Histogram_(relative_to_max): 0 0 4 38 118 ; iter: 0x65f080;
Z(5, 8; 2, 2): Max: 17; Mean: 16.3062; Variance: 0.424961; Size: 160; Time: 20.2983 ms; Top5_Histogram_(relative_to_max): 0 0 17 77 66 ; iter: 0x65f080;
Z(5, 9; 2, 2): Max: 18; Mean: 17.825; Variance: 0.156875; Size: 160; Time: 23.9156 ms; Top5_Histogram_(relative_to_max): 0 0 1 26 133 ; iter: 0x65f080;
