Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 30; Time: 19.969 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 30; Time: 20.1555 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 30; Time: 22.144 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 30; Time: 20.1362 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 30; Time: 21.2476 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 30; Time: 20.2435 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 30; Time: 21.3632 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 30; Time: 22.1663 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 30; Time: 21.3338 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 30; Time: 22.6998 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 30; Time: 20.3847 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 30; Time: 21.5231 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
