Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 24; Time: 26.2398 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 24; Time: 27.3231 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 24; Time: 31.2668 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 24; Time: 25.0359 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 24; Time: 30.1428 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 24; Time: 27.1748 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 24; Time: 33.4811 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 24; Time: 26.2276 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 24; Time: 31.0486 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 24; Time: 28.9252 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 24; Time: 36.5793 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 24; Time: 27.1226 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 24; Time: 29.0196 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 24; Time: 31.4004 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 24; Time: 36.5892 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 24; Time: 34.8481 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 24; Time: 32.9676 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 24; Time: 33.0522 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 24 ; iter: 0x7cf080;
Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 72; Time: 23.2076 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 4; 2, 2): Max: 7; Mean: 6.56944; Variance: 0.245177; Size: 72; Time: 25.8077 ms; Top5_Histogram_(relative_to_max): 0 0 0 31 41 ; iter: 0x7cf080;
Z(3, 5; 2, 2): Max: 8; Mean: 7.94444; Variance: 0.0524691; Size: 72; Time: 23.4634 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 68 ; iter: 0x7cf080;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 72; Time: 29.901 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 7; 2, 2): Max: 10; Mean: 9.33333; Variance: 0.222222; Size: 72; Time: 25.8845 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 8; 2, 2): Max: 11; Mean: 10.1806; Variance: 0.147955; Size: 72; Time: 29.9277 ms; Top5_Histogram_(relative_to_max): 0 0 0 59 13 ; iter: 0x7cf080;
Z(3, 9; 2, 2): Max: 12; Mean: 11.3333; Variance: 0.222222; Size: 72; Time: 25.2484 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 10; 2, 2): Max: 13; Mean: 12.3333; Variance: 0.222222; Size: 72; Time: 32.7634 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 11; 2, 2): Max: 14; Mean: 13.3333; Variance: 0.222222; Size: 72; Time: 28.1294 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 12; 2, 2): Max: 15; Mean: 14.3194; Variance: 0.2174; Size: 72; Time: 29.3556 ms; Top5_Histogram_(relative_to_max): 0 0 0 49 23 ; iter: 0x7cf080;
Z(3, 13; 2, 2): Max: 16; Mean: 15.3333; Variance: 0.222222; Size: 72; Time: 26.0309 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 14; 2, 2): Max: 17; Mean: 16.3333; Variance: 0.222222; Size: 72; Time: 31.6004 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 15; 2, 2): Max: 18; Mean: 17.3333; Variance: 0.222222; Size: 72; Time: 31.3616 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 16; 2, 2): Max: 19; Mean: 18.3333; Variance: 0.222222; Size: 72; Time: 27.8841 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 17; 2, 2): Max: 20; Mean: 19.3333; Variance: 0.222222; Size: 72; Time: 35.8811 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 18; 2, 2): Max: 21; Mean: 20.3333; Variance: 0.222222; Size: 72; Time: 32.8787 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 19; 2, 2): Max: 22; Mean: 21.3333; Variance: 0.222222; Size: 72; Time: 35.3884 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 20; 2, 2): Max: 23; Mean: 22.3333; Variance: 0.222222; Size: 72; Time: 31.6219 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 21; 2, 2): Max: 24; Mean: 23.3333; Variance: 0.222222; Size: 72; Time: 33.3517 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 22; 2, 2): Max: 25; Mean: 24.3333; Variance: 0.222222; Size: 72; Time: 35.6819 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 23; 2, 2): Max: 26; Mean: 25.3333; Variance: 0.222222; Size: 72; Time: 41.2522 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 24; 2, 2): Max: 27; Mean: 26.3333; Variance: 0.222222; Size: 72; Time: 33.8414 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 25; 2, 2): Max: 28; Mean: 27.3333; Variance: 0.222222; Size: 72; Time: 39.2123 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 26; 2, 2): Max: 29; Mean: 28.3333; Variance: 0.222222; Size: 72; Time: 39.7928 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 27; 2, 2): Max: 30; Mean: 29.3333; Variance: 0.222222; Size: 72; Time: 44.9296 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 28; 2, 2): Max: 31; Mean: 30.3333; Variance: 0.222222; Size: 72; Time: 39.8012 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 29; 2, 2): Max: 32; Mean: 31.3333; Variance: 0.222222; Size: 72; Time: 40.9082 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 30; 2, 2): Max: 33; Mean: 32.3333; Variance: 0.222222; Size: 72; Time: 51.9254 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 31; 2, 2): Max: 34; Mean: 33.3333; Variance: 0.222222; Size: 72; Time: 65.7704 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 32; 2, 2): Max: 35; Mean: 34.3333; Variance: 0.222222; Size: 72; Time: 44.0625 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 33; 2, 2): Max: 36; Mean: 35.3333; Variance: 0.222222; Size: 72; Time: 45.4954 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 34; 2, 2): Max: 37; Mean: 36.3333; Variance: 0.222222; Size: 72; Time: 62.8295 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 35; 2, 2): Max: 38; Mean: 37.3333; Variance: 0.222222; Size: 72; Time: 72.1532 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 36; 2, 2): Max: 39; Mean: 38.3194; Variance: 0.2174; Size: 72; Time: 58.1022 ms; Top5_Histogram_(relative_to_max): 0 0 0 49 23 ; iter: 0x7cf080;
Z(3, 37; 2, 2): Max: 40; Mean: 39.3333; Variance: 0.222222; Size: 72; Time: 55.5496 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 38; 2, 2): Max: 41; Mean: 40.3333; Variance: 0.222222; Size: 72; Time: 61.2696 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
