Z(2, 2; 5, 5): Max: 4; Mean: 4; Variance: 0; Size: 2; Time: 4.0171 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 2 ; iter: [1,3];
Z(2, 3; 5, 5): Max: 6; Mean: 6; Variance: 0; Size: 4; Time: 3.6916 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 4; 5, 5): Max: 8; Mean: 8; Variance: 0; Size: 4; Time: 3.6833 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 5; 5, 5): Max: 10; Mean: 10; Variance: 0; Size: 4; Time: 4.087 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 6; 5, 5): Max: 12; Mean: 12; Variance: 0; Size: 4; Time: 3.789 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 7; 5, 5): Max: 14; Mean: 14; Variance: 0; Size: 4; Time: 3.7521 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 8; 5, 5): Max: 16; Mean: 16; Variance: 0; Size: 4; Time: 3.6675 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 9; 5, 5): Max: 18; Mean: 18; Variance: 0; Size: 4; Time: 3.6584 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 10; 5, 5): Max: 20; Mean: 20; Variance: 0; Size: 4; Time: 3.6526 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 11; 5, 5): Max: 22; Mean: 22; Variance: 0; Size: 4; Time: 3.71 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 12; 5, 5): Max: 24; Mean: 24; Variance: 0; Size: 4; Time: 3.676 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 13; 5, 5): Max: 26; Mean: 26; Variance: 0; Size: 4; Time: 3.673 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 14; 5, 5): Max: 28; Mean: 28; Variance: 0; Size: 4; Time: 3.6581 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 15; 5, 5): Max: 30; Mean: 30; Variance: 0; Size: 4; Time: 3.7411 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 16; 5, 5): Max: 32; Mean: 32; Variance: 0; Size: 4; Time: 3.6877 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 17; 5, 5): Max: 34; Mean: 34; Variance: 0; Size: 4; Time: 3.6835 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 18; 5, 5): Max: 36; Mean: 36; Variance: 0; Size: 4; Time: 3.6754 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 19; 5, 5): Max: 38; Mean: 38; Variance: 0; Size: 4; Time: 3.7981 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 20; 5, 5): Max: 40; Mean: 40; Variance: 0; Size: 4; Time: 3.7775 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 21; 5, 5): Max: 42; Mean: 42; Variance: 0; Size: 4; Time: 3.7258 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 22; 5, 5): Max: 44; Mean: 44; Variance: 0; Size: 4; Time: 3.8871 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 23; 5, 5): Max: 46; Mean: 46; Variance: 0; Size: 4; Time: 4.0175 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 24; 5, 5): Max: 48; Mean: 48; Variance: 0; Size: 4; Time: 3.7367 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 25; 5, 5): Max: 50; Mean: 50; Variance: 0; Size: 4; Time: 3.7437 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 26; 5, 5): Max: 52; Mean: 52; Variance: 0; Size: 4; Time: 3.784 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 27; 5, 5): Max: 54; Mean: 54; Variance: 0; Size: 4; Time: 3.7412 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 28; 5, 5): Max: 56; Mean: 56; Variance: 0; Size: 4; Time: 3.7228 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 29; 5, 5): Max: 58; Mean: 58; Variance: 0; Size: 4; Time: 3.7398 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(2, 30; 5, 5): Max: 60; Mean: 60; Variance: 0; Size: 4; Time: 3.7886 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 3; 5, 5): Max: 9; Mean: 9; Variance: 0; Size: 4; Time: 3.6832 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 4; 5, 5): Max: 12; Mean: 12; Variance: 0; Size: 4; Time: 3.6677 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 5; 5, 5): Max: 15; Mean: 15; Variance: 0; Size: 4; Time: 3.6964 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 6; 5, 5): Max: 18; Mean: 18; Variance: 0; Size: 4; Time: 3.6668 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 7; 5, 5): Max: 21; Mean: 21; Variance: 0; Size: 4; Time: 3.6656 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 8; 5, 5): Max: 24; Mean: 24; Variance: 0; Size: 4; Time: 3.6711 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 9; 5, 5): Max: 27; Mean: 27; Variance: 0; Size: 4; Time: 3.7422 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 10; 5, 5): Max: 30; Mean: 30; Variance: 0; Size: 4; Time: 4.2625 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 11; 5, 5): Max: 33; Mean: 33; Variance: 0; Size: 4; Time: 3.8712 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 12; 5, 5): Max: 36; Mean: 36; Variance: 0; Size: 4; Time: 3.7602 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 13; 5, 5): Max: 39; Mean: 39; Variance: 0; Size: 4; Time: 3.8158 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 14; 5, 5): Max: 42; Mean: 42; Variance: 0; Size: 4; Time: 3.7616 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 15; 5, 5): Max: 45; Mean: 45; Variance: 0; Size: 4; Time: 3.8274 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 16; 5, 5): Max: 48; Mean: 48; Variance: 0; Size: 4; Time: 3.8035 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 17; 5, 5): Max: 51; Mean: 51; Variance: 0; Size: 4; Time: 3.7845 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 18; 5, 5): Max: 54; Mean: 54; Variance: 0; Size: 4; Time: 3.7859 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 19; 5, 5): Max: 57; Mean: 57; Variance: 0; Size: 4; Time: 3.7953 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 20; 5, 5): Max: 60; Mean: 60; Variance: 0; Size: 4; Time: 3.8846 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 21; 5, 5): Max: 63; Mean: 63; Variance: 0; Size: 4; Time: 3.8498 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 22; 5, 5): Max: 66; Mean: 66; Variance: 0; Size: 4; Time: 3.8368 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 23; 5, 5): Max: 69; Mean: 69; Variance: 0; Size: 4; Time: 3.8575 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 24; 5, 5): Max: 72; Mean: 72; Variance: 0; Size: 4; Time: 3.9268 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 25; 5, 5): Max: 75; Mean: 75; Variance: 0; Size: 4; Time: 3.9012 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 26; 5, 5): Max: 78; Mean: 78; Variance: 0; Size: 4; Time: 3.8965 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 27; 5, 5): Max: 81; Mean: 81; Variance: 0; Size: 4; Time: 3.9932 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 28; 5, 5): Max: 84; Mean: 84; Variance: 0; Size: 4; Time: 3.9284 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 29; 5, 5): Max: 87; Mean: 87; Variance: 0; Size: 4; Time: 3.9658 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(3, 30; 5, 5): Max: 90; Mean: 90; Variance: 0; Size: 4; Time: 3.972 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 4; 5, 5): Max: 16; Mean: 16; Variance: 0; Size: 4; Time: 3.7706 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 5; 5, 5): Max: 20; Mean: 20; Variance: 0; Size: 4; Time: 3.6728 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 6; 5, 5): Max: 24; Mean: 24; Variance: 0; Size: 4; Time: 3.696 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 7; 5, 5): Max: 28; Mean: 28; Variance: 0; Size: 4; Time: 3.749 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 8; 5, 5): Max: 32; Mean: 32; Variance: 0; Size: 4; Time: 3.7548 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 9; 5, 5): Max: 36; Mean: 36; Variance: 0; Size: 4; Time: 3.7845 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 10; 5, 5): Max: 40; Mean: 40; Variance: 0; Size: 4; Time: 3.8083 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 11; 5, 5): Max: 44; Mean: 44; Variance: 0; Size: 4; Time: 4.0695 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 12; 5, 5): Max: 48; Mean: 48; Variance: 0; Size: 4; Time: 3.916 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 13; 5, 5): Max: 52; Mean: 52; Variance: 0; Size: 4; Time: 3.9403 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 14; 5, 5): Max: 56; Mean: 56; Variance: 0; Size: 4; Time: 4.0064 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 15; 5, 5): Max: 60; Mean: 60; Variance: 0; Size: 4; Time: 4.0685 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 16; 5, 5): Max: 64; Mean: 64; Variance: 0; Size: 4; Time: 4.1546 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 17; 5, 5): Max: 68; Mean: 68; Variance: 0; Size: 4; Time: 4.2262 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 18; 5, 5): Max: 72; Mean: 72; Variance: 0; Size: 4; Time: 4.4209 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 19; 5, 5): Max: 76; Mean: 76; Variance: 0; Size: 4; Time: 4.4226 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 20; 5, 5): Max: 80; Mean: 80; Variance: 0; Size: 4; Time: 4.5816 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 21; 5, 5): Max: 84; Mean: 84; Variance: 0; Size: 4; Time: 4.7464 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 22; 5, 5): Max: 88; Mean: 88; Variance: 0; Size: 4; Time: 4.7883 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 23; 5, 5): Max: 92; Mean: 92; Variance: 0; Size: 4; Time: 5.0108 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 24; 5, 5): Max: 96; Mean: 96; Variance: 0; Size: 4; Time: 5.1781 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 25; 5, 5): Max: 100; Mean: 100; Variance: 0; Size: 4; Time: 5.3735 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(4, 26; 5, 5): Max: 104; Mean: 104; Variance: 0; Size: 4; Time: 5.6889 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
