Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 160; Time: 80.3429 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 160; Time: 35.5358 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 160; Time: 45.7445 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 160; Time: 62.7434 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 160; Time: 4.5657 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 4; 2, 2): Max: 7; Mean: 6.6875; Variance: 0.214844; Size: 160; Time: 4.107 ms; Top5_Histogram_(relative_to_max): 0 0 0 50 110 ; iter: 0x65f120;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 160; Time: 5.2063 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 160; Time: 7.0744 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 7; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 160; Time: 6.9282 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 8; 2, 2): Max: 11; Mean: 10.6812; Variance: 0.217148; Size: 160; Time: 5.5526 ms; Top5_Histogram_(relative_to_max): 0 0 0 51 109 ; iter: 0x65f120;
Z(3, 9; 2, 2): Max: 12; Mean: 11.9938; Variance: 0.00621094; Size: 160; Time: 6.6178 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 159 ; iter: 0x65f120;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 160; Time: 8.0279 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 160; Time: 10.9872 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 12; 2, 2): Max: 15; Mean: 14.8937; Variance: 0.0949609; Size: 160; Time: 7.7121 ms; Top5_Histogram_(relative_to_max): 0 0 0 17 143 ; iter: 0x65f120;
Z(3, 13; 2, 2): Max: 16; Mean: 15.9938; Variance: 0.00621094; Size: 160; Time: 9.4021 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 159 ; iter: 0x65f120;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 160; Time: 11.3571 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 160; Time: 14.1367 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 16; 2, 2): Max: 19; Mean: 18.9188; Variance: 0.0746484; Size: 160; Time: 10.0194 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 147 ; iter: 0x65f120;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 160; Time: 12.2029 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 160; Time: 14.7481 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 160; Time: 18.7687 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 20; 2, 2): Max: 23; Mean: 22.9875; Variance: 0.0123437; Size: 160; Time: 13.3906 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 158 ; iter: 0x65f120;
Z(3, 21; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 160; Time: 15.6177 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 22; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 160; Time: 18.9438 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 160; Time: 24.5963 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 24; 2, 2): Max: 27; Mean: 26.9937; Variance: 0.00621094; Size: 160; Time: 16.8207 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 159 ; iter: 0x65f120;
Z(3, 25; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 160; Time: 19.7228 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 160; Time: 24.2667 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 160; Time: 30.7737 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(3, 28; 2, 2): Max: 31; Mean: 30.9937; Variance: 0.00621094; Size: 160; Time: 20.4868 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 159 ; iter: 0x65f120;
