Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 160; Time: 2.8141 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 160; Time: 1.8184 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 160; Time: 2.3222 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 160; Time: 3.1582 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 160; Time: 2.2732 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 160; Time: 2.6466 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 160; Time: 3.1292 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 160; Time: 4.0969 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 160; Time: 3.1059 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 160; Time: 3.5733 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 160; Time: 4.9642 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 160; Time: 6.8959 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 160; Time: 3.7429 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 160; Time: 4.9852 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 160; Time: 6.4698 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 160; Time: 11.3075 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 160; Time: 4.6803 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 160; Time: 6.3841 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 160; Time: 9.0931 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 160; Time: 15.0065 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 160; Time: 5.9722 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 160; Time: 8.3408 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 160; Time: 12.2328 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 160; Time: 18.2275 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 160; Time: 7.3708 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 160; Time: 9.3954 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 160; Time: 12.4621 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 160; Time: 20.3703 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 160; Time: 8.0971 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 160; Time: 11.2701 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 160; Time: 16.0639 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 160; Time: 26.876 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 160; Time: 10.6067 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 160; Time: 14.8642 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 160; Time: 23.5296 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 160; Time: 42.1524 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 160; Time: 12.2252 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 160; Time: 18.8733 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 160 ; iter: 0x65f120;
