Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 5300; Time: 138.126 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 5300; Time: 151.357 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
Z(3, 3; 2, 2): Max: 6; Mean: 5.60849; Variance: 0.23823; Size: 5300; Time: 19.456 ms; Top5_Histogram_(relative_to_max): 0 0 0 2075 3225 ;
Z(3, 4; 2, 2): Max: 7; Mean: 6.86415; Variance: 0.117394; Size: 5300; Time: 24.2107 ms; Top5_Histogram_(relative_to_max): 0 0 0 720 4580 ;
Z(3, 5; 2, 2): Max: 8; Mean: 7.95057; Variance: 0.0469902; Size: 5300; Time: 32.4445 ms; Top5_Histogram_(relative_to_max): 0 0 0 262 5038 ;
Z(3, 6; 2, 2): Max: 9; Mean: 8.97925; Variance: 0.020324; Size: 5300; Time: 34.4778 ms; Top5_Histogram_(relative_to_max): 0 0 0 110 5190 ;
Z(3, 7; 2, 2): Max: 10; Mean: 9.95453; Variance: 0.043404; Size: 5300; Time: 26.0564 ms; Top5_Histogram_(relative_to_max): 0 0 0 241 5059 ;
Z(3, 8; 2, 2): Max: 11; Mean: 10.9734; Variance: 0.025896; Size: 5300; Time: 29.6909 ms; Top5_Histogram_(relative_to_max): 0 0 0 141 5159 ;
Z(3, 9; 2, 2): Max: 12; Mean: 11.9794; Variance: 0.0201431; Size: 5300; Time: 32.964 ms; Top5_Histogram_(relative_to_max): 0 0 0 109 5191 ;
Z(3, 10; 2, 2): Max: 13; Mean: 12.9821; Variance: 0.0176032; Size: 5300; Time: 35.4816 ms; Top5_Histogram_(relative_to_max): 0 0 0 95 5205 ;
Z(3, 11; 2, 2): Max: 14; Mean: 13.9843; Variance: 0.0154151; Size: 5300; Time: 39.9393 ms; Top5_Histogram_(relative_to_max): 0 0 0 83 5217 ;
