Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 108; Time: 24.6489 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 108 ; iter: 0x65f080;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 108; Time: 26.9478 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 108 ; iter: 0x65f080;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 108; Time: 23.5692 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 108 ; iter: 0x65f080;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 108; Time: 26.176 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 108 ; iter: 0x65f080;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 108; Time: 25.9327 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 108 ; iter: 0x65f080;
Z(3, 3; 2, 2): Max: 6; Mean: 5.87963; Variance: 0.105881; Size: 108; Time: 15.7381 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 95 ; iter: 0x65f080;
Z(3, 4; 2, 2): Max: 7; Mean: 6.48611; Variance: 0.249807; Size: 144; Time: 16.6564 ms; Top5_Histogram_(relative_to_max): 0 0 0 74 70 ; iter: 0x65f080;
Z(3, 5; 2, 2): Max: 8; Mean: 7.79167; Variance: 0.164931; Size: 144; Time: 17.9406 ms; Top5_Histogram_(relative_to_max): 0 0 0 30 114 ; iter: 0x65f080;
Z(3, 6; 2, 2): Max: 9; Mean: 8.97222; Variance: 0.0270062; Size: 144; Time: 17.6364 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 140 ; iter: 0x65f080;
Z(3, 7; 2, 2): Max: 10; Mean: 9.96528; Variance: 0.0335166; Size: 144; Time: 19.3433 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 139 ; iter: 0x65f080;
Z(3, 8; 2, 2): Max: 11; Mean: 10.6528; Variance: 0.226659; Size: 144; Time: 17.4784 ms; Top5_Histogram_(relative_to_max): 0 0 0 50 94 ; iter: 0x65f080;
Z(3, 9; 2, 2): Max: 12; Mean: 11.7847; Variance: 0.168933; Size: 144; Time: 18.1713 ms; Top5_Histogram_(relative_to_max): 0 0 0 31 113 ; iter: 0x65f080;
Z(3, 10; 2, 2): Max: 13; Mean: 12.875; Variance: 0.109375; Size: 144; Time: 19.1705 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 126 ; iter: 0x65f080;
Z(3, 11; 2, 2): Max: 14; Mean: 13.9861; Variance: 0.013696; Size: 144; Time: 21.1491 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 142 ; iter: 0x65f080;
Z(3, 12; 2, 2): Max: 15; Mean: 14.6667; Variance: 0.222222; Size: 144; Time: 20.3712 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 96 ; iter: 0x65f080;
Z(3, 13; 2, 2): Max: 16; Mean: 15.8472; Variance: 0.129437; Size: 144; Time: 19.705 ms; Top5_Histogram_(relative_to_max): 0 0 0 22 122 ; iter: 0x65f080;
Z(3, 14; 2, 2): Max: 17; Mean: 16.9722; Variance: 0.0270062; Size: 144; Time: 20.6278 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 140 ; iter: 0x65f080;
Z(3, 15; 2, 2): Max: 18; Mean: 17.9722; Variance: 0.0270062; Size: 144; Time: 24.0073 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 140 ; iter: 0x65f080;
Z(3, 16; 2, 2): Max: 19; Mean: 18.7847; Variance: 0.168933; Size: 144; Time: 20.1754 ms; Top5_Histogram_(relative_to_max): 0 0 0 31 113 ; iter: 0x65f080;
Z(3, 17; 2, 2): Max: 20; Mean: 19.9306; Variance: 0.0646219; Size: 144; Time: 21.3158 ms; Top5_Histogram_(relative_to_max): 0 0 0 10 134 ; iter: 0x65f080;
Z(3, 18; 2, 2): Max: 21; Mean: 20.9931; Variance: 0.00689622; Size: 144; Time: 23.21 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 143 ; iter: 0x65f080;
Z(3, 19; 2, 2): Max: 22; Mean: 21.9931; Variance: 0.00689622; Size: 144; Time: 25.0806 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 143 ; iter: 0x65f080;
Z(3, 20; 2, 2): Max: 23; Mean: 22.8264; Variance: 0.14347; Size: 144; Time: 22.8123 ms; Top5_Histogram_(relative_to_max): 0 0 0 25 119 ; iter: 0x65f080;
Z(3, 21; 2, 2): Max: 24; Mean: 23.9306; Variance: 0.0646219; Size: 144; Time: 25.0295 ms; Top5_Histogram_(relative_to_max): 0 0 0 10 134 ; iter: 0x65f080;
Z(3, 22; 2, 2): Max: 25; Mean: 24.9722; Variance: 0.0270062; Size: 144; Time: 25.926 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 140 ; iter: 0x65f080;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 144; Time: 27.4676 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 144 ; iter: 0x65f080;
Z(3, 24; 2, 2): Max: 27; Mean: 26.9861; Variance: 0.013696; Size: 144; Time: 24.4567 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 142 ; iter: 0x65f080;
Z(3, 25; 2, 2): Max: 28; Mean: 27.8819; Variance: 0.104118; Size: 144; Time: 25.3507 ms; Top5_Histogram_(relative_to_max): 0 0 0 17 127 ; iter: 0x65f080;
Z(3, 26; 2, 2): Max: 29; Mean: 28.9514; Variance: 0.0462481; Size: 144; Time: 28.5949 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 137 ; iter: 0x65f080;
Z(3, 27; 2, 2): Max: 30; Mean: 29.9931; Variance: 0.00689622; Size: 144; Time: 30.353 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 143 ; iter: 0x65f080;
Z(3, 28; 2, 2): Max: 31; Mean: 30.8125; Variance: 0.152344; Size: 144; Time: 26.4323 ms; Top5_Histogram_(relative_to_max): 0 0 0 27 117 ; iter: 0x65f080;
