Z(2, 2; 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 4; Time: 7.709 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: 0x65f080;
Z(2, 3; 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 8; Time: 7.276 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 4; 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 8; Time: 7.8596 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 5; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 8; Time: 7.2506 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 6; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 8; Time: 7.1466 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 7; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 8; Time: 7.1522 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 8; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 8; Time: 7.1594 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 9; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 8; Time: 7.2194 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 10; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 8; Time: 7.1159 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 11; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 8; Time: 7.1699 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 12; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 8; Time: 7.2533 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 13; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 8; Time: 7.291 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 14; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 8; Time: 7.178 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 15; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 8; Time: 7.2515 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 16; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 8; Time: 7.3678 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 17; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 8; Time: 7.4313 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 18; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 8; Time: 8.2767 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 19; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 8; Time: 7.5099 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 20; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 8; Time: 8.1358 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 21; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 8; Time: 8.3107 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 22; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 8; Time: 7.9978 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 23; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 8; Time: 8.0232 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 24; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 8; Time: 8.0974 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 8; Time: 8.1451 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 8; Time: 7.3494 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 8; Time: 7.421 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 8; Time: 7.461 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 8; Time: 7.8065 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 8; Time: 7.2648 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 8; Time: 7.4496 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 8; Time: 7.6153 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 8; Time: 8.3396 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 8; Time: 7.4824 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 8; Time: 7.4504 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 8; Time: 7.8134 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 8; Time: 8.1949 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 8; Time: 7.4235 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 8; Time: 7.5519 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 8; Time: 7.9271 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 8; Time: 7.2728 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 4; 2, 2): Max: 7; Mean: 6.875; Variance: 0.109375; Size: 8; Time: 7.2053 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: 0x65f080;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 8; Time: 7.2095 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 8; Time: 7.3526 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 7; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 8; Time: 7.2482 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 8; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 8; Time: 7.3154 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 8; Time: 7.2596 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 8; Time: 7.2959 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 8; Time: 7.4371 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 8; Time: 7.2491 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 8; Time: 7.3136 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 8; Time: 7.3781 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 8; Time: 7.5837 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 16; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 8; Time: 7.2737 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 8; Time: 7.3275 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 8; Time: 7.5089 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 8; Time: 7.6694 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 20; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 8; Time: 7.347 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 21; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 8; Time: 7.4416 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 22; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 8; Time: 7.5239 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 8; Time: 7.8247 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 24; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 8; Time: 7.3451 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 25; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 8; Time: 7.4431 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 8; Time: 7.6294 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 8; Time: 8.0383 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 28; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 8; Time: 7.424 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 29; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 8; Time: 7.5431 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 8; Time: 8.1415 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 8; Time: 8.6301 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 32; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 8; Time: 7.4726 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 33; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 8; Time: 7.7025 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 34; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 8; Time: 7.9903 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 8; Time: 8.718 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 36; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 8; Time: 7.4992 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 37; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 8; Time: 7.7065 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 38; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 8; Time: 8.0122 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 8; Time: 9.0099 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 40; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 8; Time: 7.5979 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(4, 4; 2, 2): Max: 9; Mean: 8.875; Variance: 0.109375; Size: 8; Time: 7.2339 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: 0x65f080;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 8; Time: 7.3073 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(4, 6; 2, 2): Max: 12; Mean: 11.875; Variance: 0.109375; Size: 8; Time: 7.3768 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: 0x65f080;
Z(4, 7; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 8; Time: 7.1915 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(4, 8; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 8; Time: 8.2137 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(4, 9; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 8; Time: 8.0657 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(4, 10; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 8; Time: 7.811 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(4, 11; 2, 2): Max: 17; Mean: 16.75; Variance: 0.1875; Size: 8; Time: 7.2959 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 6 ; iter: 0x65f080;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 8; Time: 7.3936 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(4, 13; 2, 2): Max: 19; Mean: 18.875; Variance: 0.109375; Size: 8; Time: 7.5072 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: 0x65f080;
