Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 8; Time: 5.914 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 8; Time: 6.3488 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 8; Time: 5.7732 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 8; Time: 5.8756 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 8; Time: 6.2359 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 8; Time: 5.5114 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 4; 2, 2): Max: 7; Mean: 6.875; Variance: 0.109375; Size: 8; Time: 5.562 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: 0x65f080;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 8; Time: 5.5132 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 8; Time: 5.6211 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 7; 2, 2): Max: 10; Mean: 9.875; Variance: 0.109375; Size: 8; Time: 5.5941 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: 0x65f080;
Z(3, 8; 2, 2): Max: 11; Mean: 10.5; Variance: 0.25; Size: 8; Time: 5.4801 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 4 ; iter: 0x65f080;
Z(3, 9; 2, 2): Max: 12; Mean: 11.875; Variance: 0.109375; Size: 8; Time: 5.5407 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: 0x65f080;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 8; Time: 5.5283 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 8; Time: 5.7064 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 8; Time: 5.5619 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 8; Time: 5.6016 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 8; Time: 5.7247 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 8; Time: 5.8043 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
Z(3, 16; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 8; Time: 5.6024 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: 0x65f080;
