Z(2, 2; 4, 4): Max: 4; Mean: 4; Variance: 0; Size: 4; Time: 4.709 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 3; 4, 4): Max: 6; Mean: 6; Variance: 0; Size: 4; Time: 3.953 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 4; 4, 4): Max: 8; Mean: 8; Variance: 0; Size: 4; Time: 4.7344 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 5; 4, 4): Max: 10; Mean: 10; Variance: 0; Size: 4; Time: 4.8105 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 6; 4, 4): Max: 12; Mean: 12; Variance: 0; Size: 4; Time: 4.1644 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 7; 4, 4): Max: 14; Mean: 14; Variance: 0; Size: 4; Time: 3.9715 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 8; 4, 4): Max: 16; Mean: 16; Variance: 0; Size: 4; Time: 3.992 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 9; 4, 4): Max: 18; Mean: 18; Variance: 0; Size: 4; Time: 3.9618 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 10; 4, 4): Max: 20; Mean: 20; Variance: 0; Size: 4; Time: 3.9232 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 11; 4, 4): Max: 22; Mean: 22; Variance: 0; Size: 4; Time: 3.9385 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 12; 4, 4): Max: 24; Mean: 24; Variance: 0; Size: 4; Time: 3.9105 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 13; 4, 4): Max: 26; Mean: 26; Variance: 0; Size: 4; Time: 3.937 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 14; 4, 4): Max: 28; Mean: 28; Variance: 0; Size: 4; Time: 3.9278 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 15; 4, 4): Max: 30; Mean: 30; Variance: 0; Size: 4; Time: 3.905 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 16; 4, 4): Max: 32; Mean: 32; Variance: 0; Size: 4; Time: 3.9375 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 17; 4, 4): Max: 34; Mean: 34; Variance: 0; Size: 4; Time: 3.9482 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 18; 4, 4): Max: 36; Mean: 36; Variance: 0; Size: 4; Time: 4.0931 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 19; 4, 4): Max: 38; Mean: 38; Variance: 0; Size: 4; Time: 3.9448 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 20; 4, 4): Max: 40; Mean: 40; Variance: 0; Size: 4; Time: 3.9571 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 21; 4, 4): Max: 42; Mean: 42; Variance: 0; Size: 4; Time: 3.996 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 22; 4, 4): Max: 44; Mean: 44; Variance: 0; Size: 4; Time: 3.9359 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 23; 4, 4): Max: 46; Mean: 46; Variance: 0; Size: 4; Time: 3.9717 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 24; 4, 4): Max: 48; Mean: 48; Variance: 0; Size: 4; Time: 3.987 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 25; 4, 4): Max: 50; Mean: 50; Variance: 0; Size: 4; Time: 4.0223 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 26; 4, 4): Max: 52; Mean: 52; Variance: 0; Size: 4; Time: 3.9546 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 27; 4, 4): Max: 54; Mean: 54; Variance: 0; Size: 4; Time: 3.9516 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 28; 4, 4): Max: 56; Mean: 56; Variance: 0; Size: 4; Time: 4.0352 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 29; 4, 4): Max: 58; Mean: 58; Variance: 0; Size: 4; Time: 4.0337 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(2, 30; 4, 4): Max: 60; Mean: 60; Variance: 0; Size: 4; Time: 3.9874 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3,6,12];
Z(3, 3; 4, 4): Max: 9; Mean: 9; Variance: 0; Size: 8; Time: 3.9891 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 4; 4, 4): Max: 12; Mean: 12; Variance: 0; Size: 8; Time: 4.084 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 5; 4, 4): Max: 15; Mean: 15; Variance: 0; Size: 8; Time: 4.087 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
