Z(3, 7; 4, 4): Max: 21; Mean: 21; Variance: 0; Size: 8; Time: 3.0817 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 8; 4, 4): Max: 24; Mean: 24; Variance: 0; Size: 8; Time: 3.1164 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 9; 4, 4): Max: 27; Mean: 27; Variance: 0; Size: 8; Time: 3.1485 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 10; 4, 4): Max: 30; Mean: 30; Variance: 0; Size: 8; Time: 3.1373 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 11; 4, 4): Max: 33; Mean: 33; Variance: 0; Size: 8; Time: 3.1624 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 12; 4, 4): Max: 36; Mean: 36; Variance: 0; Size: 8; Time: 3.1725 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 13; 4, 4): Max: 39; Mean: 39; Variance: 0; Size: 8; Time: 3.241 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 14; 4, 4): Max: 42; Mean: 42; Variance: 0; Size: 8; Time: 3.1801 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 15; 4, 4): Max: 45; Mean: 45; Variance: 0; Size: 8; Time: 3.2326 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 16; 4, 4): Max: 48; Mean: 48; Variance: 0; Size: 8; Time: 3.3127 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 17; 4, 4): Max: 51; Mean: 51; Variance: 0; Size: 8; Time: 3.3944 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 18; 4, 4): Max: 54; Mean: 54; Variance: 0; Size: 8; Time: 3.3093 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 19; 4, 4): Max: 57; Mean: 57; Variance: 0; Size: 8; Time: 3.5273 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 20; 4, 4): Max: 60; Mean: 60; Variance: 0; Size: 8; Time: 3.5282 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 21; 4, 4): Max: 63; Mean: 63; Variance: 0; Size: 8; Time: 3.5993 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 22; 4, 4): Max: 66; Mean: 66; Variance: 0; Size: 8; Time: 3.5961 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 23; 4, 4): Max: 69; Mean: 69; Variance: 0; Size: 8; Time: 3.5495 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 24; 4, 4): Max: 72; Mean: 72; Variance: 0; Size: 8; Time: 3.5933 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 25; 4, 4): Max: 75; Mean: 75; Variance: 0; Size: 8; Time: 3.7375 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 26; 4, 4): Max: 78; Mean: 78; Variance: 0; Size: 8; Time: 3.9424 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 27; 4, 4): Max: 81; Mean: 81; Variance: 0; Size: 8; Time: 4.3548 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 28; 4, 4): Max: 84; Mean: 84; Variance: 0; Size: 8; Time: 3.8086 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
