Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 18000; Time: 207.92 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 18000; Time: 217.065 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 18000 ;
Z(3, 3; 2, 2): Max: 6; Mean: 5.41839; Variance: 0.24334; Size: 18000; Time: 27.7475 ms; Top5_Histogram_(relative_to_max): 0 0 0 10469 7531 ;
Z(3, 4; 2, 2): Max: 7; Mean: 6.63417; Variance: 0.231999; Size: 18000; Time: 31.1938 ms; Top5_Histogram_(relative_to_max): 0 0 0 6585 11415 ;
Z(3, 5; 2, 2): Max: 8; Mean: 7.72622; Variance: 0.198824; Size: 18000; Time: 37.7791 ms; Top5_Histogram_(relative_to_max): 0 0 0 4928 13072 ;
Z(3, 6; 2, 2): Max: 9; Mean: 8.78278; Variance: 0.170037; Size: 18000; Time: 44.8313 ms; Top5_Histogram_(relative_to_max): 0 0 0 3910 14090 ;
Z(3, 7; 2, 2): Max: 10; Mean: 9.81494; Variance: 0.15081; Size: 18000; Time: 50.3492 ms; Top5_Histogram_(relative_to_max): 0 0 0 3331 14669 ;
Z(3, 8; 2, 2): Max: 11; Mean: 10.8313; Variance: 0.140255; Size: 18000; Time: 57.2459 ms; Top5_Histogram_(relative_to_max): 0 0 0 3037 14963 ;
Z(3, 9; 2, 2): Max: 12; Mean: 11.8435; Variance: 0.132008; Size: 18000; Time: 64.0679 ms; Top5_Histogram_(relative_to_max): 0 0 0 2817 15183 ;
Z(3, 10; 2, 2): Max: 13; Mean: 12.8541; Variance: 0.124605; Size: 18000; Time: 70.9282 ms; Top5_Histogram_(relative_to_max): 0 0 0 2626 15374 ;
Z(3, 11; 2, 2): Max: 14; Mean: 13.8669; Variance: 0.115352; Size: 18000; Time: 78.4106 ms; Top5_Histogram_(relative_to_max): 0 0 0 2395 15605 ;
Z(3, 12; 2, 2): Max: 15; Mean: 14.8718; Variance: 0.11174; Size: 18000; Time: 85.9049 ms; Top5_Histogram_(relative_to_max): 0 0 0 2307 15693 ;
Z(3, 13; 2, 2): Max: 16; Mean: 15.8768; Variance: 0.107997; Size: 18000; Time: 93.4206 ms; Top5_Histogram_(relative_to_max): 0 0 0 2217 15783 ;
Z(3, 14; 2, 2): Max: 17; Mean: 16.8784; Variance: 0.10678; Size: 18000; Time: 103.274 ms; Top5_Histogram_(relative_to_max): 0 0 0 2188 15812 ;
Z(3, 15; 2, 2): Max: 18; Mean: 17.8879; Variance: 0.0994991; Size: 18000; Time: 110.33 ms; Top5_Histogram_(relative_to_max): 0 0 0 2017 15983 ;
Z(3, 16; 2, 2): Max: 19; Mean: 18.8898; Variance: 0.09803; Size: 18000; Time: 117.683 ms; Top5_Histogram_(relative_to_max): 0 0 0 1983 16017 ;
Z(3, 17; 2, 2): Max: 20; Mean: 19.8957; Variance: 0.0934039; Size: 18000; Time: 126.877 ms; Top5_Histogram_(relative_to_max): 0 0 0 1877 16123 ;
Z(3, 18; 2, 2): Max: 21; Mean: 20.8977; Variance: 0.091817; Size: 18000; Time: 135.296 ms; Top5_Histogram_(relative_to_max): 0 0 0 1841 16159 ;
Z(3, 19; 2, 2): Max: 22; Mean: 21.9008; Variance: 0.0893772; Size: 18000; Time: 146.361 ms; Top5_Histogram_(relative_to_max): 0 0 0 1786 16214 ;
Z(3, 20; 2, 2): Max: 23; Mean: 22.9044; Variance: 0.0864696; Size: 18000; Time: 153.704 ms; Top5_Histogram_(relative_to_max): 0 0 0 1721 16279 ;
Z(3, 21; 2, 2): Max: 24; Mean: 23.907; Variance: 0.084351; Size: 18000; Time: 162.959 ms; Top5_Histogram_(relative_to_max): 0 0 0 1674 16326 ;
Z(3, 22; 2, 2): Max: 25; Mean: 24.9143; Variance: 0.0783739; Size: 18000; Time: 172.812 ms; Top5_Histogram_(relative_to_max): 0 0 0 1543 16457 ;
Z(3, 23; 2, 2): Max: 26; Mean: 25.9116; Variance: 0.0805763; Size: 18000; Time: 182.35 ms; Top5_Histogram_(relative_to_max): 0 0 0 1591 16409 ;
Z(3, 24; 2, 2): Max: 27; Mean: 26.9138; Variance: 0.078742; Size: 18000; Time: 191.911 ms; Top5_Histogram_(relative_to_max): 0 0 0 1551 16449 ;
Z(3, 25; 2, 2): Max: 28; Mean: 27.9163; Variance: 0.0767128; Size: 18000; Time: 202.604 ms; Top5_Histogram_(relative_to_max): 0 0 0 1507 16493 ;
Z(3, 26; 2, 2): Max: 29; Mean: 28.9209; Variance: 0.0728525; Size: 18000; Time: 211.484 ms; Top5_Histogram_(relative_to_max): 0 0 0 1424 16576 ;
Z(3, 27; 2, 2): Max: 30; Mean: 29.926; Variance: 0.068524; Size: 18000; Time: 225.507 ms; Top5_Histogram_(relative_to_max): 0 0 0 1332 16668 ;
Z(3, 28; 2, 2): Max: 31; Mean: 30.9245; Variance: 0.0697998; Size: 18000; Time: 231.222 ms; Top5_Histogram_(relative_to_max): 0 0 0 1359 16641 ;
Z(3, 29; 2, 2): Max: 32; Mean: 31.9253; Variance: 0.0691388; Size: 18000; Time: 243.971 ms; Top5_Histogram_(relative_to_max): 0 0 0 1345 16655 ;
Z(3, 30; 2, 2): Max: 33; Mean: 32.9292; Variance: 0.065816; Size: 18000; Time: 254.14 ms; Top5_Histogram_(relative_to_max): 0 0 0 1275 16725 ;
Z(3, 31; 2, 2): Max: 34; Mean: 33.9288; Variance: 0.066102; Size: 18000; Time: 266.805 ms; Top5_Histogram_(relative_to_max): 0 0 0 1281 16719 ;
Z(3, 32; 2, 2): Max: 35; Mean: 34.9286; Variance: 0.0663401; Size: 18000; Time: 281.213 ms; Top5_Histogram_(relative_to_max): 0 0 0 1286 16714 ;
Z(3, 33; 2, 2): Max: 36; Mean: 35.9281; Variance: 0.0667209; Size: 18000; Time: 291.386 ms; Top5_Histogram_(relative_to_max): 0 0 0 1294 16706 ;
Z(3, 34; 2, 2): Max: 37; Mean: 36.9303; Variance: 0.0648132; Size: 18000; Time: 298.18 ms; Top5_Histogram_(relative_to_max): 0 0 0 1254 16746 ;
Z(3, 35; 2, 2): Max: 38; Mean: 37.9319; Variance: 0.063424; Size: 18000; Time: 315.602 ms; Top5_Histogram_(relative_to_max): 0 0 0 1225 16775 ;
Z(3, 36; 2, 2): Max: 39; Mean: 38.9316; Variance: 0.0637118; Size: 18000; Time: 322.043 ms; Top5_Histogram_(relative_to_max): 0 0 0 1231 16769 ;
Z(3, 37; 2, 2): Max: 40; Mean: 39.9319; Variance: 0.063472; Size: 18000; Time: 334.186 ms; Top5_Histogram_(relative_to_max): 0 0 0 1226 16774 ;
Z(3, 38; 2, 2): Max: 41; Mean: 40.9354; Variance: 0.0604365; Size: 18000; Time: 345.945 ms; Top5_Histogram_(relative_to_max): 0 0 0 1163 16837 ;
Z(3, 39; 2, 2): Max: 42; Mean: 41.9361; Variance: 0.0598071; Size: 18000; Time: 358.525 ms; Top5_Histogram_(relative_to_max): 0 0 0 1150 16850 ;
Z(3, 40; 2, 2): Max: 43; Mean: 42.9343; Variance: 0.0614028; Size: 18000; Time: 368.26 ms; Top5_Histogram_(relative_to_max): 0 0 0 1183 16817 ;
Z(4, 4; 2, 2): Max: 9; Mean: 8.26928; Variance: 0.486767; Size: 18000; Time: 43.5034 ms; Top5_Histogram_(relative_to_max): 0 0 2610 7933 7457 ;
Z(4, 5; 2, 2): Max: 10; Mean: 9.62461; Variance: 0.375361; Size: 18000; Time: 52.8301 ms; Top5_Histogram_(relative_to_max): 0 0 1268 4221 12511 ;
Z(4, 6; 2, 2): Max: 12; Mean: 10.8834; Variance: 0.37968; Size: 18000; Time: 63.3072 ms; Top5_Histogram_(relative_to_max): 0 854 2027 13483 1636 ;
Z(4, 7; 2, 2): Max: 13; Mean: 12.0703; Variance: 0.380831; Size: 18000; Time: 72.1437 ms; Top5_Histogram_(relative_to_max): 0 620 979 12916 3485 ;
Z(4, 8; 2, 2): Max: 14; Mean: 13.2274; Variance: 0.375461; Size: 18000; Time: 81.1082 ms; Top5_Histogram_(relative_to_max): 0 455 433 11676 5436 ;
Z(4, 9; 2, 2): Max: 15; Mean: 14.3198; Variance: 0.373873; Size: 18000; Time: 91.1977 ms; Top5_Histogram_(relative_to_max): 0 382 261 10575 6782 ;
Z(4, 10; 2, 2): Max: 16; Mean: 15.3726; Variance: 0.369091; Size: 18000; Time: 100.75 ms; Top5_Histogram_(relative_to_max): 0 373 99 9977 7551 ;
Z(4, 11; 2, 2): Max: 17; Mean: 16.4297; Variance: 0.357164; Size: 18000; Time: 112.364 ms; Top5_Histogram_(relative_to_max): 0 320 49 9208 8423 ;
Z(4, 12; 2, 2): Max: 18; Mean: 17.4739; Variance: 0.33654; Size: 18000; Time: 122.288 ms; Top5_Histogram_(relative_to_max): 0 252 29 8656 9063 ;
Z(4, 13; 2, 2): Max: 19; Mean: 18.5004; Variance: 0.335666; Size: 18000; Time: 133.249 ms; Top5_Histogram_(relative_to_max): 0 253 12 8209 9526 ;
Z(4, 14; 2, 2): Max: 20; Mean: 19.5221; Variance: 0.329067; Size: 18000; Time: 143.837 ms; Top5_Histogram_(relative_to_max): 0 236 8 7878 9878 ;
Z(4, 15; 2, 2): Max: 21; Mean: 20.554; Variance: 0.30964; Size: 18000; Time: 154.688 ms; Top5_Histogram_(relative_to_max): 0 187 2 7463 10348 ;
Z(4, 16; 2, 2): Max: 22; Mean: 21.5625; Variance: 0.310983; Size: 18000; Time: 168.072 ms; Top5_Histogram_(relative_to_max): 0 194 2 7289 10515 ;
Z(4, 17; 2, 2): Max: 23; Mean: 22.5798; Variance: 0.310636; Size: 18000; Time: 180.461 ms; Top5_Histogram_(relative_to_max): 0 201 0 6961 10838 ;
Z(4, 18; 2, 2): Max: 24; Mean: 23.591; Variance: 0.297719; Size: 18000; Time: 190.573 ms; Top5_Histogram_(relative_to_max): 0 168 0 6858 10974 ;
Z(4, 19; 2, 2): Max: 25; Mean: 24.6173; Variance: 0.289579; Size: 18000; Time: 204.399 ms; Top5_Histogram_(relative_to_max): 0 160 0 6409 11431 ;
Z(4, 20; 2, 2): Max: 26; Mean: 25.6202; Variance: 0.284213; Size: 18000; Time: 220.226 ms; Top5_Histogram_(relative_to_max): 0 146 0 6398 11456 ;
Z(4, 21; 2, 2): Max: 27; Mean: 26.6268; Variance: 0.282247; Size: 18000; Time: 232.153 ms; Top5_Histogram_(relative_to_max): 0 145 0 6282 11573 ;
Z(4, 22; 2, 2): Max: 28; Mean: 27.641; Variance: 0.271452; Size: 18000; Time: 242.113 ms; Top5_Histogram_(relative_to_max): 0 124 0 6090 11786 ;
Z(4, 23; 2, 2): Max: 29; Mean: 28.6513; Variance: 0.271098; Size: 18000; Time: 259.458 ms; Top5_Histogram_(relative_to_max): 0 132 0 5880 11988 ;
Z(4, 24; 2, 2): Max: 30; Mean: 29.6659; Variance: 0.258462; Size: 18000; Time: 274.119 ms; Top5_Histogram_(relative_to_max): 0 108 0 5689 12203 ;
Z(4, 25; 2, 2): Max: 31; Mean: 30.6712; Variance: 0.259702; Size: 18000; Time: 296.618 ms; Top5_Histogram_(relative_to_max): 0 117 0 5568 12315 ;
Z(4, 26; 2, 2): Max: 32; Mean: 31.6793; Variance: 0.255193; Size: 18000; Time: 301.55 ms; Top5_Histogram_(relative_to_max): 0 112 0 5437 12451 ;
Z(4, 27; 2, 2): Max: 33; Mean: 32.6785; Variance: 0.260138; Size: 18000; Time: 315.383 ms; Top5_Histogram_(relative_to_max): 0 126 0 5409 12465 ;
Z(4, 28; 2, 2): Max: 34; Mean: 33.6878; Variance: 0.244073; Size: 18000; Time: 332.542 ms; Top5_Histogram_(relative_to_max): 0 88 0 5356 12556 ;
Z(4, 29; 2, 2): Max: 35; Mean: 34.6958; Variance: 0.243004; Size: 18000; Time: 340.692 ms; Top5_Histogram_(relative_to_max): 0 94 0 5194 12712 ;
Z(4, 30; 2, 2): Max: 36; Mean: 35.7069; Variance: 0.23653; Size: 18000; Time: 358.124 ms; Top5_Histogram_(relative_to_max): 0 88 0 5012 12900 ;
Z(4, 31; 2, 2): Max: 37; Mean: 36.7076; Variance: 0.234898; Size: 18000; Time: 371.546 ms; Top5_Histogram_(relative_to_max): 0 84 0 5011 12905 ;
Z(4, 32; 2, 2): Max: 38; Mean: 37.7189; Variance: 0.232754; Size: 18000; Time: 394.393 ms; Top5_Histogram_(relative_to_max): 0 92 0 4784 13124 ;
Z(4, 33; 2, 2): Max: 39; Mean: 38.7219; Variance: 0.227074; Size: 18000; Time: 409.095 ms; Top5_Histogram_(relative_to_max): 0 79 0 4768 13153 ;
Z(4, 34; 2, 2): Max: 40; Mean: 39.7258; Variance: 0.222024; Size: 18000; Time: 421.284 ms; Top5_Histogram_(relative_to_max): 0 69 0 4729 13202 ;
Z(4, 35; 2, 2): Max: 41; Mean: 40.7236; Variance: 0.229023; Size: 18000; Time: 435.101 ms; Top5_Histogram_(relative_to_max): 0 87 0 4715 13198 ;
