Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 400; Time: 33.7006 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 36.1073 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 400; Time: 38.4631 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 42.0579 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 400; Time: 38.6534 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 41.3208 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 400; Time: 44.0549 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 3; 2, 2): Max: 6; Mean: 5.95; Variance: 0.0475; Size: 400; Time: 7.0338 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 380 ; iter: 1, 3, 6, 12;
Z(3, 4; 2, 2): Max: 7; Mean: 6.4; Variance: 0.24; Size: 400; Time: 6.3173 ms; Top5_Histogram_(relative_to_max): 0 0 0 240 160 ; iter: 1, 3, 6, 12;
Z(3, 5; 2, 2): Max: 8; Mean: 7.72; Variance: 0.2016; Size: 400; Time: 7.1476 ms; Top5_Histogram_(relative_to_max): 0 0 0 112 288 ; iter: 1, 3, 6, 12;
Z(3, 6; 2, 2): Max: 9; Mean: 8.94; Variance: 0.0564; Size: 400; Time: 8.2285 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 376 ; iter: 1, 3, 6, 12;
Z(3, 7; 2, 2): Max: 10; Mean: 9.905; Variance: 0.085975; Size: 400; Time: 9.9001 ms; Top5_Histogram_(relative_to_max): 0 0 0 38 362 ; iter: 1, 3, 6, 12;
Z(3, 8; 2, 2): Max: 11; Mean: 10.04; Variance: 0.0384; Size: 400; Time: 8.2916 ms; Top5_Histogram_(relative_to_max): 0 0 0 384 16 ; iter: 1, 3, 6, 12;
Z(3, 9; 2, 2): Max: 12; Mean: 11.48; Variance: 0.2496; Size: 400; Time: 10.0477 ms; Top5_Histogram_(relative_to_max): 0 0 0 208 192 ; iter: 1, 3, 6, 12;
Z(3, 10; 2, 2): Max: 13; Mean: 12.66; Variance: 0.2244; Size: 400; Time: 11.113 ms; Top5_Histogram_(relative_to_max): 0 0 0 136 264 ; iter: 1, 3, 6, 12;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 24.2018 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 12; 2, 2): Max: 15; Mean: 14.94; Variance: 0.0564; Size: 400; Time: 13.7911 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 376 ; iter: 1, 3, 6, 12;
Z(3, 13; 2, 2): Max: 16; Mean: 15.97; Variance: 0.0291; Size: 400; Time: 13.1694 ms; Top5_Histogram_(relative_to_max): 0 0 0 12 388 ; iter: 1, 3, 6, 12;
Z(3, 14; 2, 2): Max: 17; Mean: 16.98; Variance: 0.0196; Size: 400; Time: 14.64 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 392 ; iter: 1, 3, 6, 12;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 17.4029 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 16; 2, 2): Max: 19; Mean: 18.73; Variance: 0.1971; Size: 400; Time: 13.3301 ms; Top5_Histogram_(relative_to_max): 0 0 0 108 292 ; iter: 1, 3, 6, 12;
Z(3, 17; 2, 2): Max: 20; Mean: 19.965; Variance: 0.033775; Size: 400; Time: 15.8471 ms; Top5_Histogram_(relative_to_max): 0 0 0 14 386 ; iter: 1, 3, 6, 12;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 400; Time: 18.0761 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 400; Time: 20.8414 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 20; 2, 2): Max: 23; Mean: 22.65; Variance: 0.2275; Size: 400; Time: 16.2277 ms; Top5_Histogram_(relative_to_max): 0 0 0 140 260 ; iter: 1, 3, 6, 12;
Z(3, 21; 2, 2): Max: 24; Mean: 23.945; Variance: 0.051975; Size: 400; Time: 18.5077 ms; Top5_Histogram_(relative_to_max): 0 0 0 22 378 ; iter: 1, 3, 6, 12;
Z(3, 22; 2, 2): Max: 25; Mean: 24.995; Variance: 0.004975; Size: 400; Time: 21.1465 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 24.9667 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 24; 2, 2): Max: 27; Mean: 26.545; Variance: 0.247975; Size: 400; Time: 19.5356 ms; Top5_Histogram_(relative_to_max): 0 0 0 182 218 ; iter: 1, 3, 6, 12;
Z(3, 25; 2, 2): Max: 28; Mean: 27.905; Variance: 0.085975; Size: 400; Time: 21.9227 ms; Top5_Histogram_(relative_to_max): 0 0 0 38 362 ; iter: 1, 3, 6, 12;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 400; Time: 27.3256 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 400; Time: 30.4905 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 28; 2, 2): Max: 31; Mean: 30.575; Variance: 0.244375; Size: 400; Time: 23.313 ms; Top5_Histogram_(relative_to_max): 0 0 0 170 230 ; iter: 1, 3, 6, 12;
Z(3, 29; 2, 2): Max: 32; Mean: 31.9; Variance: 0.09; Size: 400; Time: 26.2088 ms; Top5_Histogram_(relative_to_max): 0 0 0 40 360 ; iter: 1, 3, 6, 12;
Z(3, 30; 2, 2): Max: 33; Mean: 32.995; Variance: 0.004975; Size: 400; Time: 30.0787 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 35.1205 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
