Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 400; Time: 13.0267 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 15.5791 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 400; Time: 11.7018 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 12.6071 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 400; Time: 14.1548 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 16.9549 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 400; Time: 12.5865 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 13.6444 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 400; Time: 15.3676 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 400; Time: 6.4168 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 4; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 400; Time: 5.9133 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 400; Time: 6.2623 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 400; Time: 6.9505 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 7; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 400; Time: 8.0388 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 8; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 400; Time: 6.9302 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 400; Time: 7.5723 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 400; Time: 8.4347 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 10.0129 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 400; Time: 8.078 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 13; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 400; Time: 8.8115 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 400; Time: 9.992 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 12.0409 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 16; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 400; Time: 9.4011 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 400; Time: 10.3153 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 400; Time: 11.6307 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 400; Time: 14.1667 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 20; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 400; Time: 10.5385 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 21; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 400; Time: 11.5399 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 22; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 400; Time: 13.3256 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 16.3221 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 24; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 400; Time: 11.9215 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 25; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 400; Time: 13.1482 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 400; Time: 15.1238 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 400; Time: 18.4817 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 28; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 400; Time: 13.563 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 29; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 400; Time: 14.7284 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 400; Time: 16.8819 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 20.9447 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 32; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 400; Time: 15.2787 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 33; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 16.52 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 34; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 400; Time: 18.834 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 23.6004 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 36; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 400; Time: 17.1797 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 37; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 18.5036 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 38; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 400; Time: 20.8373 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 400; Time: 26.2953 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 40; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 400; Time: 18.2098 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 4; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 400; Time: 6.9708 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 400; Time: 7.5429 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 6; 2, 2): Max: 12; Mean: 11.61; Variance: 0.2379; Size: 400; Time: 10.1841 ms; Top5_Histogram_(relative_to_max): 0 0 0 156 244 ; iter: 1, 3, 6, 12;
Z(4, 7; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 400; Time: 7.7957 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 8; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 8.5554 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 9; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 400; Time: 9.581 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 10; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 400; Time: 11.7127 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
