DYNP_ITER_INPUT_VERTEX_TOP2_N1: 714seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M1: 736seconds
DYNP_ITER_INPUT_VERTEX_TOP2_N2: 731seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M2: 742seconds
DYNP_ITER_INPUT_VERTEX_TOP2_N3: 723seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M3: 734seconds
DYNP_ITER_INPUT_VERTEX_TOP2_N4: 703seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M4: 756seconds
DYNP_ITER_INPUT_VERTEX_TOP2_N5: 716seconds
DYNP_ITER_INPUT_VERTEX_TOP2_M5: 741seconds
DYNP_ITER_INPUT_VERTEX_TOP2: 7301seconds
